arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kh,16,0,0.000807
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kh,16,0,0.000807
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kh,16,0,0.000807
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kh,16,0,0.000807
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kh,16,0,0.000705
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kh,16,0,0.006311
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kh,16,0,0.006311
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kh,16,0,0.006311
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kh,16,0,0.000000
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kh,16,0,0.009615
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kh,16,0,0.470044
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kh,16,0,0.480236
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kh,16,0,0.000000
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kh,16,0,0.004437
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kh,16,0,0.486939
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kh,16,0,0.995515
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kw,16,0,0.005728
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kw,16,0,0.005728
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kw,16,0,0.005728
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kw,16,0,0.005728
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kw,16,0,0.170633
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kw,16,0,0.180965
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kw,16,0,0.180965
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kw,16,0,0.180965
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kw,16,0,0.093507
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kw,16,0,0.648496
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kw,16,0,0.788802
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kw,16,0,0.793538
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kw,16,0,0.077936
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kw,16,0,0.647474
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kw,16,0,0.788239
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kw,16,0,0.995515
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,cin,16,0,0.897202
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,cin,16,0,0.897202
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,cin,16,0,0.897202
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,cin,16,0,0.897202
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,cin,16,0,0.898677
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cin,16,0,0.898677
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cin,16,0,0.898677
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cin,16,0,0.898677
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,cin,16,0,0.902938
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cin,16,0,0.902938
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cin,16,0,0.902938
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cin,16,0,0.902938
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,cin,16,0,0.919662
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cin,16,0,0.919662
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,cin,16,0,0.919662
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,cin,16,0,0.919662
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,cout,16,0,0.875458
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,cout,16,0,0.875458
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,cout,16,0,0.875458
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,cout,16,0,0.875458
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,cout,16,0,0.891211
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cout,16,0,0.891960
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cout,16,0,0.891960
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cout,16,0,0.891960
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,cout,16,0,0.884548
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cout,16,0,0.985227
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cout,16,0,0.999159
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cout,16,0,0.999159
gustavsnn,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,cout,16,0,0.883177
