arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,8192,kh,16,0,0.000768
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,16384,kh,16,0,0.000768
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,32768,kh,16,0,0.000768
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,65536,kh,16,0,0.000768
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,8192,kh,16,0,0.000054
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,kh,16,0,0.004682
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,kh,16,0,0.004682
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,kh,16,0,0.004682
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,8192,kh,16,0,0.000000
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,kh,16,0,0.000848
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,kh,16,0,0.400466
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,kh,16,0,0.419539
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,8192,kh,16,0,0.000000
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,kh,16,0,0.000000
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,kh,16,0,0.389386
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,kh,16,0,0.995928
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,8192,kw,16,0,0.003098
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,16384,kw,16,0,0.003098
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,32768,kw,16,0,0.003098
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,65536,kw,16,0,0.003098
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,8192,kw,16,0,0.105419
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,kw,16,0,0.121877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,kw,16,0,0.121877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,kw,16,0,0.121877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,8192,kw,16,0,0.019964
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,kw,16,0,0.647733
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,kw,16,0,0.766857
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,kw,16,0,0.774934
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,8192,kw,16,0,0.008118
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,kw,16,0,0.647198
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,kw,16,0,0.755955
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,kw,16,0,0.995928
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,8192,cin,16,0,0.906670
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,16384,cin,16,0,0.906670
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,32768,cin,16,0,0.906670
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,65536,cin,16,0,0.906670
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,8192,cin,16,0,0.908008
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,cin,16,0,0.908008
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,cin,16,0,0.908008
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,cin,16,0,0.908008
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,8192,cin,16,0,0.911877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,cin,16,0,0.911877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,cin,16,0,0.911877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,cin,16,0,0.911877
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,8192,cin,16,0,0.927061
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,cin,16,0,0.927061
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,cin,16,0,0.927061
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,cin,16,0,0.927061
gustavsnn,resnet19_T4_all,layer_10_layer2_0_shortcut_0,direct_mapped,0,8192,cout,16,0,0.875360
