arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,kh,16,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,kh,16,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,kh,16,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,kh,16,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,kh,16,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,kh,16,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,kh,16,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,kh,16,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,kh,16,0,0.260566
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,kh,16,0,0.899410
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,kh,16,0,0.928275
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,kh,16,0,0.928275
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,kh,16,0,0.178871
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,kh,16,0,0.931092
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,kh,16,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,kh,16,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,kw,16,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,kw,16,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,kw,16,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,kw,16,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,kw,16,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,kw,16,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,kw,16,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,kw,16,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,kw,16,0,0.728971
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,kw,16,0,0.956740
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,kw,16,0,0.968598
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,kw,16,0,0.968598
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,kw,16,0,0.697438
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,kw,16,0,0.970238
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,kw,16,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,kw,16,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,cin,16,0,0.840485
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,cin,16,0,0.840485
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,cin,16,0,0.840485
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,cin,16,0,0.840485
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,cin,16,0,0.845043
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cin,16,0,0.845043
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cin,16,0,0.845043
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cin,16,0,0.845043
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,cin,16,0,0.857846
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cin,16,0,0.857846
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cin,16,0,0.857846
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cin,16,0,0.857846
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,cin,16,0,0.944420
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cin,16,0,0.944420
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cin,16,0,0.944420
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cin,16,0,0.944420
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,cout,16,0,0.879080
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,cout,16,0,0.879080
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,cout,16,0,0.879080
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,cout,16,0,0.879080
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,cout,16,0,0.929838
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cout,16,0,0.929838
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cout,16,0,0.929838
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cout,16,0,0.929838
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,cout,16,0,0.999007
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cout,16,0,0.999768
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,kh,32,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,kh,32,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,kh,32,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,kh,32,0,0.003927
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,kh,32,0,0.034589
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,kh,32,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,kh,32,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,kh,32,0,0.050516
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,kh,32,0,0.004087
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,kh,32,0,0.260566
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,kh,32,0,0.899410
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,kh,32,0,0.928275
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,kh,32,0,0.000000
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,kh,32,0,0.178871
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,kh,32,0,0.931092
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,kh,32,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,kw,32,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,kw,32,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,kw,32,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,kw,32,0,0.034064
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,kw,32,0,0.446330
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,kw,32,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,kw,32,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,kw,32,0,0.496696
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,kw,32,0,0.564935
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,kw,32,0,0.728971
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,kw,32,0,0.956740
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,kw,32,0,0.968598
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,kw,32,0,0.591247
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,kw,32,0,0.697438
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,kw,32,0,0.970238
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,kw,32,0,0.998763
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,cin,32,0,0.920249
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,cin,32,0,0.920249
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,cin,32,0,0.920249
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,cin,32,0,0.920249
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,cin,32,0,0.924823
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cin,32,0,0.924823
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cin,32,0,0.924823
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cin,32,0,0.924823
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,cin,32,0,0.952474
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cin,32,0,0.952474
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cin,32,0,0.952474
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cin,32,0,0.952474
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,cin,32,0,0.999839
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cin,32,0,0.999839
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cin,32,0,0.999839
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cin,32,0,0.999839
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,8192,cout,32,0,0.879085
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,16384,cout,32,0,0.879085
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,32768,cout,32,0,0.879085
gustavsnn,vgg16_T4_all,layer_01_features_3,direct_mapped,0,65536,cout,32,0,0.879085
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,8192,cout,32,0,0.926419
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cout,32,0,0.929878
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cout,32,0,0.929878
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cout,32,0,0.929878
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,8192,cout,32,0,0.950040
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cout,32,0,0.999118
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cout,32,0,0.999884
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cout,32,0,0.999884
gustavsnn,vgg16_T4_all,layer_01_features_3,set_associative,32,8192,cout,32,0,0.956244
