arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,8192,kh,16,0,0.206626
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,16384,kh,16,0,0.206626
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,32768,kh,16,0,0.206626
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,65536,kh,16,0,0.206626
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,8192,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,16384,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,32768,kh,16,0,0.918908
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,65536,kh,16,0,0.918908
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,8192,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,16384,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,32768,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,65536,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,8192,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,16384,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,32768,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,65536,kh,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,8192,kw,16,0,0.469975
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,16384,kw,16,0,0.469975
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,32768,kw,16,0,0.469975
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,65536,kw,16,0,0.469975
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,8192,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,16384,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,32768,kw,16,0,0.918908
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,65536,kw,16,0,0.918908
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,8192,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,16384,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,32768,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,65536,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,8192,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,16384,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,32768,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,65536,kw,16,0,0.918903
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,8192,cin,16,0,0.035563
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,16384,cin,16,0,0.035563
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,32768,cin,16,0,0.035563
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,direct_mapped,0,65536,cin,16,0,0.035563
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,8192,cin,16,0,0.308462
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,16384,cin,16,0,0.317100
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,32768,cin,16,0,0.317100
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,4,65536,cin,16,0,0.317100
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,8192,cin,16,0,0.308462
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,16384,cin,16,0,0.838340
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,32768,cin,16,0,0.984634
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,16,65536,cin,16,0,0.984661
prosperity,resnet19_T4_all,layer_13_layer2_2_conv1,set_associative,32,8192,cin,16,0,0.308462
