arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,kh,16,0,0.003226
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,kh,16,0,0.003226
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,kh,16,0,0.003226
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,kh,16,0,0.003226
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,kh,16,0,0.038551
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,kh,16,0,0.055171
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,kh,16,0,0.055171
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,kh,16,0,0.055171
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,kh,16,0,0.024109
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,kh,16,0,0.192770
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,kh,16,0,0.660758
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,kh,16,0,0.683326
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,kh,16,0,0.023029
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,kh,16,0,0.177141
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,kh,16,0,0.702158
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,kh,16,0,0.930408
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,kw,16,0,0.034685
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,kw,16,0,0.034685
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,kw,16,0,0.034685
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,kw,16,0,0.034685
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,kw,16,0,0.272230
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,kw,16,0,0.287913
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,kw,16,0,0.287913
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,kw,16,0,0.287913
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,kw,16,0,0.306116
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,kw,16,0,0.443183
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,kw,16,0,0.587178
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,kw,16,0,0.608954
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,kw,16,0,0.310995
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,kw,16,0,0.442200
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,kw,16,0,0.589025
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,kw,16,0,0.884354
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,cin,16,0,0.678954
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,cin,16,0,0.678954
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,cin,16,0,0.678954
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,cin,16,0,0.678954
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,cin,16,0,0.681271
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cin,16,0,0.681271
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cin,16,0,0.681271
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cin,16,0,0.681271
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,cin,16,0,0.690743
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cin,16,0,0.690743
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cin,16,0,0.690743
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cin,16,0,0.690743
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,cin,16,0,0.681555
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cin,16,0,0.722256
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cin,16,0,0.722256
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cin,16,0,0.722256
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,cout,16,0,0.942553
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,cout,16,0,0.942553
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,32768,cout,16,0,0.942553
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,65536,cout,16,0,0.942553
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,8192,cout,16,0,0.974815
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,16384,cout,16,0,0.975201
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,32768,cout,16,0,0.975201
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,4,65536,cout,16,0,0.975201
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,8192,cout,16,0,0.979006
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,16384,cout,16,0,0.996012
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,32768,cout,16,0,0.998566
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,16,65536,cout,16,0,0.998566
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,8192,cout,16,0,0.979282
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,16384,cout,16,0,0.996222
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,32768,cout,16,0,0.998566
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,set_associative,32,65536,cout,16,0,0.998566
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,8192,kh,32,0,0.003226
ptb,resnet19_T4_all,layer_05_layer1_1_conv2,direct_mapped,0,16384,kh,32,0,0.003226
