arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,8192,kh,16,0,0.000530
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,16384,kh,16,0,0.000530
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,32768,kh,16,0,0.000530
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,65536,kh,16,0,0.000530
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,16384,kh,16,0,0.000909
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,32768,kh,16,0,0.004915
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,65536,kh,16,0,0.004915
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,16384,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,32768,kh,16,0,0.013064
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,65536,kh,16,0,0.355833
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,16384,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,32768,kh,16,0,0.005377
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,65536,kh,16,0,0.359387
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,8192,kw,16,0,0.003135
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,16384,kw,16,0,0.003135
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,32768,kw,16,0,0.003135
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,65536,kw,16,0,0.003135
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,8192,kw,16,0,0.003154
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,16384,kw,16,0,0.106092
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,32768,kw,16,0,0.119968
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,65536,kw,16,0,0.119968
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,16384,kw,16,0,0.052057
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,32768,kw,16,0,0.442713
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,65536,kw,16,0,0.509943
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,16384,kw,16,0,0.027573
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,32768,kw,16,0,0.454508
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,65536,kw,16,0,0.501261
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,8192,cin,16,0,0.807845
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,16384,cin,16,0,0.807845
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,32768,cin,16,0,0.807845
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,65536,cin,16,0,0.807845
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,8192,cin,16,0,0.808575
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,16384,cin,16,0,0.808575
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,32768,cin,16,0,0.808575
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,65536,cin,16,0,0.808575
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,8192,cin,16,0,0.811555
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,16384,cin,16,0,0.811555
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,32768,cin,16,0,0.811555
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,65536,cin,16,0,0.811555
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,8192,cin,16,0,0.807667
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,16384,cin,16,0,0.821141
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,32768,cin,16,0,0.821141
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,65536,cin,16,0,0.821141
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,8192,cout,16,0,0.939693
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,16384,cout,16,0,0.939693
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,32768,cout,16,0,0.939693
ptb,vgg16_T4_all,layer_06_features_20,direct_mapped,0,65536,cout,16,0,0.939693
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,8192,cout,16,0,0.945192
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,16384,cout,16,0,0.967677
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,32768,cout,16,0,0.968000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,4,65536,cout,16,0,0.968000
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,8192,cout,16,0,0.942969
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,16384,cout,16,0,0.972806
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,32768,cout,16,0,0.994818
ptb,vgg16_T4_all,layer_06_features_20,set_associative,16,65536,cout,16,0,0.996455
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,8192,cout,16,0,0.942283
ptb,vgg16_T4_all,layer_06_features_20,set_associative,32,16384,cout,16,0,0.975364
