arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,8192,kh,16,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,16384,kh,16,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,32768,kh,16,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,65536,kh,16,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,kh,16,0,0.009047
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,kh,16,0,0.009047
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,kh,16,0,0.009047
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,kh,16,0,0.001174
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,kh,16,0,0.102866
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,8192,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,kh,16,0,0.000000
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,kh,16,0,0.001174
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,kh,16,0,0.350688
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,8192,kw,16,0,0.005789
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,16384,kw,16,0,0.005789
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,32768,kw,16,0,0.005789
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,65536,kw,16,0,0.005789
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,8192,kw,16,0,0.000775
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,kw,16,0,0.046825
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,kw,16,0,0.046825
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,kw,16,0,0.046825
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,8192,kw,16,0,0.000775
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,kw,16,0,0.084497
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,kw,16,0,0.457330
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,kw,16,0,0.504362
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,8192,kw,16,0,0.000775
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,kw,16,0,0.084497
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,kw,16,0,0.457330
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,kw,16,0,0.568600
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,8192,cin,16,0,0.643792
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,16384,cin,16,0,0.643792
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,32768,cin,16,0,0.643792
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,65536,cin,16,0,0.643792
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,8192,cin,16,0,0.643630
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,cin,16,0,0.644437
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,cin,16,0,0.644437
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,cin,16,0,0.644437
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,8192,cin,16,0,0.643630
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,cin,16,0,0.643630
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,cin,16,0,0.644145
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,cin,16,0,0.647060
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,8192,cin,16,0,0.643630
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,cin,16,0,0.643630
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,cin,16,0,0.644145
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,cin,16,0,0.689531
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,8192,cout,16,0,0.937724
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,16384,cout,16,0,0.937724
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,32768,cout,16,0,0.937724
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,65536,cout,16,0,0.937724
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,8192,cout,16,0,0.939355
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,cout,16,0,0.939355
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,cout,16,0,0.939355
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,cout,16,0,0.939355
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,8192,cout,16,0,0.943545
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,cout,16,0,0.968111
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,cout,16,0,0.970295
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,cout,16,0,0.970295
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,8192,cout,16,0,0.940638
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,cout,16,0,0.974152
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,cout,16,0,0.996860
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,cout,16,0,0.997117
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,8192,kh,32,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,16384,kh,32,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,32768,kh,32,0,0.000543
spinalflow,resnet19_T4_all,layer_03_layer1_0_shortcut_0,direct_mapped,0,65536,kh,32,0,0.000543
