arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,8192,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,16384,kh,16,0,0.000194
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,32768,kh,16,0,0.000194
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,65536,kh,16,0,0.000194
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,8192,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,16384,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,32768,kh,16,0,0.000017
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,65536,kh,16,0,0.000936
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,16,8192,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,16,16384,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,16,32768,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,16,65536,kh,16,0,0.000289
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,32,8192,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,32,16384,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,32,32768,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,32,65536,kh,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,8192,kw,16,0,0.000097
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,16384,kw,16,0,0.000622
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,32768,kw,16,0,0.000622
gustavsnn,vgg16_T4_all,layer_09_features_30,direct_mapped,0,65536,kw,16,0,0.000622
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,8192,kw,16,0,0.000000
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,16384,kw,16,0,0.000192
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,32768,kw,16,0,0.056073
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,4,65536,kw,16,0,0.061190
gustavsnn,vgg16_T4_all,layer_09_features_30,set_associative,16,8192,kw,16,0,0.000000
