arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,kh,16,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,kh,16,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,kh,16,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,kh,16,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,kh,16,0,0.001121
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,kh,16,0,0.008174
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,kh,16,0,0.008174
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,kh,16,0,0.008174
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,kh,16,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,kh,16,0,0.003878
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,kh,16,0,0.239759
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,kh,16,0,0.285697
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,8192,kh,16,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,kh,16,0,0.000257
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,kh,16,0,0.246897
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,kh,16,0,0.912117
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,kw,16,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,kw,16,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,kw,16,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,kw,16,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,kw,16,0,0.069044
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,kw,16,0,0.090967
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,kw,16,0,0.090967
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,kw,16,0,0.090967
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,kw,16,0,0.012396
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,kw,16,0,0.453794
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,kw,16,0,0.513346
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,kw,16,0,0.534651
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,8192,kw,16,0,0.001534
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,kw,16,0,0.480898
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,kw,16,0,0.507904
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,kw,16,0,0.856702
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,cin,16,0,0.827396
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,cin,16,0,0.827396
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,cin,16,0,0.827396
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,cin,16,0,0.827396
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,cin,16,0,0.828667
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,cin,16,0,0.828667
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,cin,16,0,0.828667
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,cin,16,0,0.828667
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,cin,16,0,0.832965
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,cin,16,0,0.832965
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,cin,16,0,0.832965
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,cin,16,0,0.832965
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,8192,cin,16,0,0.828796
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,cin,16,0,0.848772
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,cin,16,0,0.848772
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,cin,16,0,0.848772
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,cout,16,0,0.939066
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,cout,16,0,0.939066
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,cout,16,0,0.939066
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,cout,16,0,0.939066
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,cout,16,0,0.964973
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,cout,16,0,0.965312
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,cout,16,0,0.965312
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,cout,16,0,0.965312
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,cout,16,0,0.972011
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,cout,16,0,0.996512
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,cout,16,0,0.999264
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,cout,16,0,0.999264
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,8192,cout,16,0,0.974625
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,cout,16,0,0.996710
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,cout,16,0,0.999264
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,cout,16,0,0.999264
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,kh,32,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,kh,32,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,kh,32,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,kh,32,0,0.000897
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,kh,32,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,kh,32,0,0.001121
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,kh,32,0,0.008174
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,kh,32,0,0.008174
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,kh,32,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,16384,kh,32,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,32768,kh,32,0,0.003878
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,65536,kh,32,0,0.239759
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,8192,kh,32,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,16384,kh,32,0,0.000000
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,32768,kh,32,0,0.000257
loas,vgg16_T4_all,layer_03_features_10,set_associative,32,65536,kh,32,0,0.246897
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,8192,kw,32,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,16384,kw,32,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,32768,kw,32,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,direct_mapped,0,65536,kw,32,0,0.004577
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,8192,kw,32,0,0.001141
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,16384,kw,32,0,0.069044
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,32768,kw,32,0,0.090967
loas,vgg16_T4_all,layer_03_features_10,set_associative,4,65536,kw,32,0,0.090967
loas,vgg16_T4_all,layer_03_features_10,set_associative,16,8192,kw,32,0,0.000000
