arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,kh,16,0,0.204737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,kh,16,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,kh,16,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,kh,16,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,kh,16,0,0.879256
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,kh,16,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,kw,16,0,0.414737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,kw,16,0,0.414740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,kw,16,0,0.414740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,kw,16,0,0.414740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,kw,16,0,0.879929
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,kw,16,0,0.879918
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,cin,16,0,0.034544
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,cin,16,0,0.034544
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,cin,16,0,0.034544
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,cin,16,0,0.034544
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,cin,16,0,0.330417
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,cin,16,0,0.338134
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,cin,16,0,0.338134
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,cin,16,0,0.338134
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,cin,16,0,0.330417
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,cin,16,0,0.821238
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,cin,16,0,0.964756
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,cin,16,0,0.964784
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,cin,16,0,0.330417
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,cin,16,0,0.821238
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,cin,16,0,0.964756
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,cin,16,0,0.964756
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,cout,16,0,0.941181
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,cout,16,0,0.941183
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,cout,16,0,0.941183
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,cout,16,0,0.941183
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,cout,16,0,0.959985
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,cout,16,0,0.959993
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,32768,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,65536,cout,16,0,0.978292
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,8192,kh,32,0,0.204737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,16384,kh,32,0,0.204737
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,32768,kh,32,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,direct_mapped,0,65536,kh,32,0,0.204740
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,16384,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,32768,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,4,65536,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,16384,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,32768,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,16,65536,kh,32,0,0.879245
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,8192,kh,32,0,0.565471
prosperity,resnet19_T4_all,layer_18_layer3_1_conv1,set_associative,32,16384,kh,32,0,0.879245
