arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,kh,16,0,0.210725
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,kh,16,0,0.210727
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,kh,16,0,0.210727
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,kh,16,0,0.210727
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,kh,16,0,0.820328
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,kh,16,0,0.820320
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,kw,16,0,0.420811
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,kw,16,0,0.420812
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,kw,16,0,0.420812
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,kw,16,0,0.420812
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,kw,16,0,0.825937
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,kw,16,0,0.825928
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,cin,16,0,0.039625
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,cin,16,0,0.039625
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,cin,16,0,0.039625
prosperity,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,cin,16,0,0.039625
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,cin,16,0,0.325548
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,cin,16,0,0.332923
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,cin,16,0,0.332923
prosperity,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,cin,16,0,0.332923
