arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kh,16,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kh,16,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kh,16,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kh,16,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kh,16,0,0.006062
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kh,16,0,0.016206
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kh,16,0,0.016206
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kh,16,0,0.016206
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kh,16,0,0.042011
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kh,16,0,0.478906
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kh,16,0,0.502218
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kh,16,0,0.018386
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kh,16,0,0.530356
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kh,16,0,0.911935
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kw,16,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kw,16,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kw,16,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kw,16,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kw,16,0,0.170079
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kw,16,0,0.185568
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kw,16,0,0.185568
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kw,16,0,0.185568
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kw,16,0,0.160361
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kw,16,0,0.439464
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kw,16,0,0.511313
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kw,16,0,0.530297
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kw,16,0,0.159993
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kw,16,0,0.440559
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kw,16,0,0.506971
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kw,16,0,0.851617
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,cin,16,0,0.770243
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,cin,16,0,0.770243
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,cin,16,0,0.770243
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,cin,16,0,0.770243
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,cin,16,0,0.771887
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cin,16,0,0.771887
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cin,16,0,0.771887
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cin,16,0,0.771887
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,cin,16,0,0.778144
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cin,16,0,0.778144
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cin,16,0,0.778144
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cin,16,0,0.778144
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,cin,16,0,0.772154
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cin,16,0,0.799348
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,cin,16,0,0.799348
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,cin,16,0,0.799348
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,cout,16,0,0.940269
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,cout,16,0,0.940269
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,cout,16,0,0.940269
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,cout,16,0,0.940269
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,cout,16,0,0.969406
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cout,16,0,0.969672
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cout,16,0,0.969672
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cout,16,0,0.969672
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,cout,16,0,0.975992
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cout,16,0,0.995831
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cout,16,0,0.999001
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cout,16,0,0.999001
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,cout,16,0,0.976930
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cout,16,0,0.995882
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,cout,16,0,0.999001
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,cout,16,0,0.999001
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kh,32,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kh,32,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kh,32,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kh,32,0,0.001310
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kh,32,0,0.000019
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kh,32,0,0.006062
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kh,32,0,0.016206
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kh,32,0,0.016206
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kh,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kh,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kh,32,0,0.042011
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kh,32,0,0.478906
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kh,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kh,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kh,32,0,0.018386
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kh,32,0,0.530356
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,kw,32,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,kw,32,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,kw,32,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,kw,32,0,0.011968
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,kw,32,0,0.013870
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,kw,32,0,0.170079
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,kw,32,0,0.185568
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,kw,32,0,0.185568
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,8192,kw,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,kw,32,0,0.160361
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,kw,32,0,0.439464
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,kw,32,0,0.511313
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,8192,kw,32,0,0.000000
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,kw,32,0,0.159993
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,kw,32,0,0.440559
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,kw,32,0,0.506971
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,8192,cin,32,0,0.883034
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,16384,cin,32,0,0.883034
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,32768,cin,32,0,0.883034
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,direct_mapped,0,65536,cin,32,0,0.883034
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,8192,cin,32,0,0.884761
ptb,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cin,32,0,0.884761
