arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,8192,kh,16,0,0.000198
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,16384,kh,16,0,0.000198
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,32768,kh,16,0,0.000198
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,65536,kh,16,0,0.000198
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,8192,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,16384,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,32768,kh,16,0,0.000793
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,65536,kh,16,0,0.000793
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,8192,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,16384,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,32768,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,65536,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,8192,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,16384,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,32768,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,65536,kh,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,8192,kw,16,0,0.000421
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,16384,kw,16,0,0.000421
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,32768,kw,16,0,0.000421
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,65536,kw,16,0,0.000421
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,8192,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,16384,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,32768,kw,16,0,0.004264
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,65536,kw,16,0,0.004264
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,8192,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,16384,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,32768,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,65536,kw,16,0,0.631747
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,8192,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,16384,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,32768,kw,16,0,0.000000
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,32,65536,kw,16,0,0.631747
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,8192,cin,16,0,0.929620
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,16384,cin,16,0,0.929620
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,32768,cin,16,0,0.929620
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,direct_mapped,0,65536,cin,16,0,0.929620
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,8192,cin,16,0,0.929884
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,16384,cin,16,0,0.929884
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,32768,cin,16,0,0.929884
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,4,65536,cin,16,0,0.929884
ptb,resnet19_T4_all,layer_17_layer3_0_shortcut_0,set_associative,16,8192,cin,16,0,0.930979
