arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,kh,16,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,kh,16,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,kh,16,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,kh,16,0,0.001122
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,kh,16,0,0.002013
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,kh,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,kh,16,0,0.000098
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,kw,16,0,0.000342
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,kw,16,0,0.000342
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,kw,16,0,0.000342
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,kw,16,0,0.000098
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,kw,16,0,0.002293
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,kw,16,0,0.022883
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,kw,16,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,kw,16,0,0.008733
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,cin,16,0,0.900151
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,cin,16,0,0.900151
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,cin,16,0,0.900151
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,cin,16,0,0.900151
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,cin,16,0,0.900761
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,cin,16,0,0.900761
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,cin,16,0,0.900761
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,cin,16,0,0.900078
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,cin,16,0,0.903079
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,cin,16,0,0.903079
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,cout,16,0,0.937768
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,cout,16,0,0.937768
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,cout,16,0,0.937768
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,cout,16,0,0.937768
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,cout,16,0,0.937500
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,cout,16,0,0.938390
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,cout,16,0,0.949368
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,cout,16,0,0.949429
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,cout,16,0,0.937500
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,cout,16,0,0.937537
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,cout,16,0,0.950442
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,cout,16,0,0.957626
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,cout,16,0,0.937500
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,cout,16,0,0.937500
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,cout,16,0,0.950503
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,cout,16,0,0.957626
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,kh,32,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,kh,32,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,kh,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,kw,32,0,0.000342
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,kw,32,0,0.000342
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,kw,32,0,0.000098
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,kw,32,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,cin,32,0,0.950112
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,cin,32,0,0.950112
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,cin,32,0,0.950112
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,cin,32,0,0.950112
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,cin,32,0,0.950722
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,cin,32,0,0.950722
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,cin,32,0,0.950722
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,cin,32,0,0.950039
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,cin,32,0,0.953040
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,cin,32,0,0.953040
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,cout,32,0,0.937945
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,cout,32,0,0.939019
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,cout,32,0,0.939043
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,cout,32,0,0.939043
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,cout,32,0,0.937787
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,cout,32,0,0.938714
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,32768,cout,32,0,0.939750
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,65536,cout,32,0,0.954345
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,8192,cout,32,0,0.937610
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,16384,cout,32,0,0.938714
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,32768,cout,32,0,0.938750
ptb,vgg16_T4_all,layer_12_features_40,set_associative,16,65536,cout,32,0,0.954961
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,8192,cout,32,0,0.937567
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,16384,cout,32,0,0.938714
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,32768,cout,32,0,0.938714
ptb,vgg16_T4_all,layer_12_features_40,set_associative,32,65536,cout,32,0,0.955040
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,8192,kh,64,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,16384,kh,64,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,32768,kh,64,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,direct_mapped,0,65536,kh,64,0,0.000134
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,8192,kh,64,0,0.000000
ptb,vgg16_T4_all,layer_12_features_40,set_associative,4,16384,kh,64,0,0.000000
