arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,line_size,sample_idx,hit_rate
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,kh,16,0,0.000043
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,kh,16,0,0.000043
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,kh,16,0,0.000043
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,kh,16,0,0.000465
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,kh,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,kw,16,0,0.000221
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,kw,16,0,0.000221
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,kw,16,0,0.000221
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,kw,16,0,0.002324
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,kw,16,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,cin,16,0,0.713626
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,cin,16,0,0.713626
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,cin,16,0,0.713626
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,cin,16,0,0.713626
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,cin,16,0,0.713710
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,cin,16,0,0.713710
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,cin,16,0,0.713710
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,cin,16,0,0.714204
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,cin,16,0,0.713605
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,cout,16,0,0.937515
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,cout,16,0,0.937533
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,cout,16,0,0.937533
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,cout,16,0,0.937533
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,cout,16,0,0.937500
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,cout,16,0,0.937516
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,cout,16,0,0.938291
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,cout,16,0,0.938399
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,cout,16,0,0.937500
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,cout,16,0,0.937500
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,cout,16,0,0.937624
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,65536,cout,16,0,0.943674
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,8192,cout,16,0,0.937500
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,16384,cout,16,0,0.937500
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,32768,cout,16,0,0.937511
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,32,65536,cout,16,0,0.943137
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,8192,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,16384,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,32768,kh,32,0,0.000043
spinalflow,vgg16_T4_all,layer_08_features_27,direct_mapped,0,65536,kh,32,0,0.000043
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,8192,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,16384,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,32768,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,4,65536,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,8192,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,16384,kh,32,0,0.000000
spinalflow,vgg16_T4_all,layer_08_features_27,set_associative,16,32768,kh,32,0,0.000000
