arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,16384,cout,cin_cout_2d,16,0.013825,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,32768,cout,cin_cout_2d,16,0.064818,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,65536,cout,cin_cout_2d,16,0.158216,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,16384,cout,cin_cout_2d,16,0.004614,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,32768,cout,cin_cout_2d,16,0.101793,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,65536,cout,cin_cout_2d,16,0.455306,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,16384,cout,cin_cout_2d,16,0.002529,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,32768,cout,cin_cout_2d,16,0.093836,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,65536,cout,cin_cout_2d,16,0.562631,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,16384,cout,cin_cout_2d,16,0.959511,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,32768,cout,cin_cout_2d,16,0.986251,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,65536,cout,cin_cout_2d,16,0.986251,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,16384,cout,cin_cout_2d,32,0.159629,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,32768,cout,cin_cout_2d,32,0.176938,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,65536,cout,cin_cout_2d,32,0.250356,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,16384,cout,cin_cout_2d,32,0.158466,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,32768,cout,cin_cout_2d,32,0.167517,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,65536,cout,cin_cout_2d,32,0.323734,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,16384,cout,cin_cout_2d,32,0.158346,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,32768,cout,cin_cout_2d,32,0.165115,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,65536,cout,cin_cout_2d,32,0.323868,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,16384,cout,cin_cout_2d,32,0.959251,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,32768,cout,cin_cout_2d,32,0.993125,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,65536,cout,cin_cout_2d,32,0.993125,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,16384,cout,cin_cout_2d,64,0.383595,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,32768,cout,cin_cout_2d,64,0.385863,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,4,65536,cout,cin_cout_2d,64,0.416154,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,16384,cout,cin_cout_2d,64,0.383576,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,32768,cout,cin_cout_2d,64,0.383956,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,16,65536,cout,cin_cout_2d,64,0.406923,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,16384,cout,cin_cout_2d,64,0.383576,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,32768,cout,cin_cout_2d,64,0.383805,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,set_associative,32,65536,cout,cin_cout_2d,64,0.399617,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,16384,cout,cin_cout_2d,64,0.928448,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,32768,cout,cin_cout_2d,64,0.996563,5
loas,resnet19_T4_all,layer_07_layer1_2_conv2,fully_associative,0,65536,cout,cin_cout_2d,64,0.996563,5
