arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,16,0.000023,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,16,0.003351,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,16,0.032519,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,16,0.000000,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,16,0.000013,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,16,0.020572,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,16,0.000000,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,16,0.000000,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,16,0.006248,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,16,0.976125,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,16,0.990827,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,16,0.990827,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,32,0.232695,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,32,0.236995,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,32,0.232763,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,32,0.232630,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,32,0.956784,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,32,0.995414,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,32,0.995414,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,64,0.511291,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,64,0.511192,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,64,0.718141,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,64,0.997707,5
loas,resnet19_T4_all,layer_10_layer2_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,64,0.997707,5
