arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cout,cin_cout_2d,16,0.120707,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cout,cin_cout_2d,16,0.734557,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cout,cin_cout_2d,16,0.672385,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cout,cin_cout_2d,16,0.921114,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cout,cin_cout_2d,16,0.834601,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cout,cin_cout_2d,16,0.988261,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,16384,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,32768,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,65536,cout,cin_cout_2d,16,0.996210,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cout,cin_cout_2d,32,0.201404,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cout,cin_cout_2d,32,0.745277,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cout,cin_cout_2d,32,0.438950,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cout,cin_cout_2d,32,0.868650,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cout,cin_cout_2d,32,0.509746,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cout,cin_cout_2d,32,0.926710,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,16384,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,32768,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,65536,cout,cin_cout_2d,32,0.997848,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,16384,cout,cin_cout_2d,64,0.330292,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,32768,cout,cin_cout_2d,64,0.757384,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,4,65536,cout,cin_cout_2d,64,0.998874,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,16384,cout,cin_cout_2d,64,0.379005,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,32768,cout,cin_cout_2d,64,0.805561,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,16,65536,cout,cin_cout_2d,64,0.998874,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,16384,cout,cin_cout_2d,64,0.360134,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,32768,cout,cin_cout_2d,64,0.884596,5
loas,vgg16_T4_all,layer_01_features_3,set_associative,32,65536,cout,cin_cout_2d,64,0.998874,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,16384,cout,cin_cout_2d,64,0.998874,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,32768,cout,cin_cout_2d,64,0.998874,5
loas,vgg16_T4_all,layer_01_features_3,fully_associative,0,65536,cout,cin_cout_2d,64,0.998874,5
