arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,16384,cout,cout_only,16,0.000023,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,32768,cout,cout_only,16,0.003351,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,65536,cout,cout_only,16,0.032519,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,16384,cout,cout_only,16,0.000000,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,32768,cout,cout_only,16,0.000013,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,65536,cout,cout_only,16,0.020572,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,16384,cout,cout_only,16,0.000000,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,32768,cout,cout_only,16,0.000000,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,65536,cout,cout_only,16,0.006248,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,16384,cout,cout_only,16,0.976125,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,32768,cout,cout_only,16,0.990827,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,65536,cout,cout_only,16,0.990827,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,16384,cout,cout_only,32,0.000102,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,32768,cout,cout_only,32,0.003539,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,65536,cout,cout_only,32,0.032783,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,16384,cout,cout_only,32,0.000072,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,32768,cout,cout_only,32,0.000194,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,65536,cout,cout_only,32,0.020797,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,16384,cout,cout_only,32,0.000065,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,32768,cout,cout_only,32,0.000180,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,65536,cout,cout_only,32,0.006442,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,16384,cout,cout_only,32,0.353162,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,32768,cout,cout_only,32,0.979427,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,65536,cout,cout_only,32,0.995414,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,16384,cout,cout_only,64,0.000141,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,32768,cout,cout_only,64,0.003632,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,4,65536,cout,cout_only,64,0.032915,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,16384,cout,cout_only,64,0.000108,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,32768,cout,cout_only,64,0.000284,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,16,65536,cout,cout_only,64,0.020909,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,16384,cout,cout_only,64,0.000097,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,32768,cout,cout_only,64,0.000269,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,set_associative,32,65536,cout,cout_only,64,0.006538,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,16384,cout,cout_only,64,0.000342,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,32768,cout,cout_only,64,0.353465,5
loas,resnet19_T4_all,layer_08_layer2_0_conv1,fully_associative,0,65536,cout,cout_only,64,0.981078,5
