arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,16384,cout,cout_only,16,0.105695,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,32768,cout,cout_only,16,0.207474,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,65536,cout,cout_only,16,0.799483,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,16384,cout,cout_only,16,0.246956,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,32768,cout,cout_only,16,0.606380,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,65536,cout,cout_only,16,0.903037,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,16384,cout,cout_only,16,0.276252,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,32768,cout,cout_only,16,0.682228,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,65536,cout,cout_only,16,0.945749,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,16384,cout,cout_only,16,0.980839,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,32768,cout,cout_only,16,0.980839,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,65536,cout,cout_only,16,0.980839,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,16384,cout,cout_only,32,0.105997,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,32768,cout,cout_only,32,0.208128,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,65536,cout,cout_only,32,0.805837,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,16384,cout,cout_only,32,0.247408,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,32768,cout,cout_only,32,0.607944,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,65536,cout,cout_only,32,0.908792,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,16384,cout,cout_only,32,0.276712,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,32768,cout,cout_only,32,0.683926,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,65536,cout,cout_only,32,0.952429,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,16384,cout,cout_only,32,0.977970,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,32768,cout,cout_only,32,0.990419,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,65536,cout,cout_only,32,0.990419,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,16384,cout,cout_only,64,0.106149,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,32768,cout,cout_only,64,0.208454,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,4,65536,cout,cout_only,64,0.809015,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,16384,cout,cout_only,64,0.247634,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,32768,cout,cout_only,64,0.608726,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,16,65536,cout,cout_only,64,0.911669,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,16384,cout,cout_only,64,0.276941,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,32768,cout,cout_only,64,0.684776,5
loas,vgg16_T4_all,layer_02_features_7,set_associative,32,65536,cout,cout_only,64,0.955770,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,16384,cout,cout_only,64,0.726002,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,32768,cout,cout_only,64,0.981762,5
loas,vgg16_T4_all,layer_02_features_7,fully_associative,0,65536,cout,cout_only,64,0.995210,5
