arch_config,workload,layer,sample_idx,cache_type,associativity,l1_size_bytes,l2_size_bytes,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,overall_hit_rate,n_cores
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,16384,131072,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,16384,262144,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,16384,524288,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,16384,1048576,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,32768,131072,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,32768,262144,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,32768,524288,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,fully_associative,0,32768,1048576,3159136,3294784,0.9588294710669956,128320,135648,0.9459778249587166,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,16384,131072,819776,3294784,0.24881024067131563,2467680,2475008,0.9970392014894497,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,16384,262144,819776,3294784,0.24881024067131563,2467680,2475008,0.9970392014894497,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,16384,524288,819776,3294784,0.24881024067131563,2467680,2475008,0.9970392014894497,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,16384,1048576,819776,3294784,0.24881024067131563,2467680,2475008,0.9970392014894497,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,32768,131072,1167712,3294784,0.35441230745323515,2119744,2127072,0.9965548885980352,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,32768,262144,1167712,3294784,0.35441230745323515,2119744,2127072,0.9965548885980352,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,32768,524288,1167712,3294784,0.35441230745323515,2119744,2127072,0.9965548885980352,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,32,32768,1048576,1167712,3294784,0.35441230745323515,2119744,2127072,0.9965548885980352,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,16384,131072,854944,3294784,0.25948408150579827,2432512,2439840,0.9969965243622533,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,16384,262144,854944,3294784,0.25948408150579827,2432512,2439840,0.9969965243622533,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,16384,524288,854944,3294784,0.25948408150579827,2432512,2439840,0.9969965243622533,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,16384,1048576,854944,3294784,0.25948408150579827,2432512,2439840,0.9969965243622533,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,32768,131072,1010656,3294784,0.3067442357374565,2276800,2284128,0.9967917734908026,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,32768,262144,1010656,3294784,0.3067442357374565,2276800,2284128,0.9967917734908026,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,32768,524288,1010656,3294784,0.3067442357374565,2276800,2284128,0.9967917734908026,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,0,set_associative,4,32768,1048576,1010656,3294784,0.3067442357374565,2276800,2284128,0.9967917734908026,0.997775878479439,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,16384,131072,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,fully_associative,0,16384,262144,3597568,3730560,0.9643506604906502,124352,132992,0.9350336862367661,0.9976839938239835,1024
