run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,262144,16,16384,1024,16,1,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3176770,205924,2970846,183616,3294784,0.055729,3103824,3111168,0.997639,3672,58752,0,0,0,0,0,46397454,823311,345539,47566304,47220765,47220765,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.000000,94.427070,1,1,1,4,8,8,0,0,12817624,4.034798,1.881414,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,262144,16,16384,1024,16,1,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3151491,205924,2945567,234601,3294784,0.071204,35210,35290,0.997733,3672,58752,0,0,46026,0,0,46603728,9360,502726,47161840,46659114,140263851,93604737,0.667348,3262016,50985,3024893,0,186138,0,0,0,0,0.933560,0.990055,0,0,0.000000,92.879624,2,3,3,6,17,20,13,0,16081004,5.102665,2.761169,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,262144,16,16384,1024,16,1,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3143344,205924,2937420,269132,3294784,0.081684,41274,41354,0.998065,3672,58752,0,0,62186,0,0,46430982,9360,528960,47031488,46502528,230664505,184161977,0.798398,3262016,85516,2984298,0,192202,0,0,0,0,0.931719,0.990055,0,0,0.000000,91.831574,4,5,5,6,17,20,47,0,16081230,5.115962,2.883749,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,262144,16,16384,1024,16,1,16,1,16,20,20,12,1,next_burst,8,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3139175,205924,2933251,388045,3294784,0.117776,61078,61158,0.998692,3672,58752,0,0,173199,0,0,46166063,9360,616162,46964784,46348622,404680635,358332013,0.885469,3262016,204905,2845581,0,211530,0,0,0,0,0.925853,0.990055,0,0,0.000000,88.222445,8,9,9,7,17,20,114,0,16082238,5.123078,3.094978,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,524288,16,32768,2048,16,1,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3176770,205924,2970846,183616,3294784,0.055729,3103824,3111168,0.997639,3672,58752,0,0,0,0,0,46397454,823311,345539,47566304,47220765,47220765,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.000000,94.427070,1,1,1,4,8,8,0,0,12817624,4.034798,1.808741,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,524288,16,32768,2048,16,1,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3151491,205924,2945567,234601,3294784,0.071204,35210,35290,0.997733,3672,58752,0,0,46026,0,0,46603728,9360,502726,47161840,46659114,140263851,93604737,0.667348,3262016,50985,3024893,0,186138,0,0,0,0,0.933560,0.990055,0,0,0.000000,92.879624,2,3,3,6,17,20,13,0,16081004,5.102665,2.766521,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,524288,16,32768,2048,16,1,16,1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3143344,205924,2937420,269132,3294784,0.081684,41274,41354,0.998065,3672,58752,0,0,62186,0,0,46430982,9360,528960,47031488,46502528,230664505,184161977,0.798398,3262016,85516,2984298,0,192202,0,0,0,0,0.931719,0.990055,0,0,0.000000,91.831574,4,5,5,6,17,20,47,0,16081230,5.115962,2.872169,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,524288,16,32768,2048,16,1,16,1,16,20,20,12,1,next_burst,8,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3139175,205924,2933251,388045,3294784,0.117776,61078,61158,0.998692,3672,58752,0,0,173199,0,0,46166063,9360,616162,46964784,46348622,404680635,358332013,0.885469,3262016,204905,2845581,0,211530,0,0,0,0,0.925853,0.990055,0,0,0.000000,88.222445,8,9,9,7,17,20,114,0,16082238,5.123078,3.054479,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,1048576,16,65536,4096,16,1,16,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3176770,205924,2970846,183616,3294784,0.055729,3103824,3111168,0.997639,3672,58752,0,0,0,0,0,46397454,823311,345539,47566304,47220765,47220765,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.990055,0,0,0.000000,94.427070,1,1,1,4,8,8,0,0,12817624,4.034798,1.814448,101,174
8bd5b0f0-316b-49ee-a3b5-5b7731a0d1b9,adc154abe3cea812fb9fedff32206f3a879c9e26,cache,cache16,loas,16,resnet19_T4_all,layer_01_layer1_0_conv1,0,8192,8,512,64,1048576,16,65536,4096,16,1,16,1,16,20,20,12,1,next_burst,2,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3151491,205924,2945567,234601,3294784,0.071204,35210,35290,0.997733,3672,58752,0,0,46026,0,0,46603728,9360,502726,47161840,46659114,140263851,93604737,0.667348,3262016,50985,3024893,0,186138,0,0,0,0,0.933560,0.990055,0,0,0.000000,92.879624,2,3,3,6,17,20,13,0,16081004,5.102665,2.750269,101,174
