_tag,_sample,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,187000,123108,63892,1930816,1969728,0.980245,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4056256,21.691209,0.593412,1842,2854
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,1048576,16,16384,1024,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,187000,123108,63892,1930816,1969728,0.980245,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4056256,21.691209,0.590333,1842,2854
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,2097152,16,32768,2048,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,161912,123108,38804,1930816,1969728,0.980245,20480,38912,0.526316,18432,1179648,0,0,0,0,0,127880,481152,12856,621888,609032,609032,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4035776,24.925737,0.583147,1842,2854
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,4194304,16,65536,4096,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,161912,123108,38804,1930816,1969728,0.980245,20480,38912,0.526316,18432,1179648,0,0,0,0,0,127880,481152,12856,621888,609032,609032,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4035776,24.925737,0.584881,1842,2854
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,8388608,16,131072,8192,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,161912,123108,38804,1930816,1969728,0.980245,20480,38912,0.526316,18432,1179648,0,0,0,0,0,127880,481152,12856,621888,609032,609032,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4035776,24.925737,0.586369,1842,2854
R16,0,l2cap-R16-s0,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,16777216,16,262144,16384,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,161912,123108,38804,1930816,1969728,0.980245,20480,38912,0.526316,18432,1179648,0,0,0,0,0,127880,481152,12856,621888,609032,609032,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4035776,24.925737,0.607163,1842,2854
R16,1,l2cap-R16-s1,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,189172,125280,63892,1965568,2004480,0.980587,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4125760,21.809570,0.601180,1875,2873
R16,1,l2cap-R16-s1,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,1048576,16,16384,1024,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,189172,125280,63892,1965568,2004480,0.980587,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4125760,21.809570,0.598041,1875,2873
R16,1,l2cap-R16-s1,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,2097152,16,32768,2048,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,163996,125280,38716,1965568,2004480,0.980587,20480,38912,0.526316,18432,1179648,0,0,0,0,0,125536,481152,13792,620480,606688,606688,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4105280,25.032806,0.595320,1875,2873
R16,1,l2cap-R16-s1,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,4194304,16,65536,4096,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,163996,125280,38716,1965568,2004480,0.980587,20480,38912,0.526316,18432,1179648,0,0,0,0,0,125536,481152,13792,620480,606688,606688,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4105280,25.032806,0.599493,1875,2873
R16,1,l2cap-R16-s1,26ef6f0,cache,l2_capacity,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,8388608,16,131072,8192,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,163996,125280,38716,1965568,2004480,0.980587,20480,38912,0.526316,18432,1179648,0,0,0,0,0,125536,481152,13792,620480,606688,606688,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4105280,25.032806,0.594220,1875,2873
