_tag,_sample,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,ctl-R16-s0-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,449864,123108,326756,1764928,1969728,0.896026,6144,204800,0.030000,198656,12713984,0,0,0,0,0,43560,5173268,12292,5229120,5216828,5216828,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,2.495370,1,1,1,8,15,16,0,0,4547776,10.109224,0.733163,1842,2854
R16,0,ctl-R16-s0-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,187000,123108,63892,1930816,1969728,0.980245,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,0.474120,1,1,1,8,15,16,0,0,4056256,21.691209,0.577203,1842,2854
R16,0,ctl-R16-s0-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,300212,123108,177104,1861184,1969728,0.944894,0,108544,0.000000,108544,6946816,0,0,0,0,0,0,2827904,6784,2834688,2827904,2827904,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,1.322546,1,1,1,8,15,16,0,0,4265152,14.207134,0.635237,1842,2854
R16,1,ctl-R16-s1-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,451876,125280,326596,1799680,2004480,0.897829,6144,204800,0.030000,198656,12713984,0,0,0,0,0,41780,5173148,11632,5226560,5214928,5214928,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,2.452107,1,1,1,8,15,16,0,0,4617280,10.218024,0.787042,1875,2873
R16,1,ctl-R16-s1-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,189172,125280,63892,1965568,2004480,0.980587,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,0.465900,1,1,1,8,15,16,0,0,4125760,21.809570,0.587688,1875,2873
R16,1,ctl-R16-s1-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,302384,125280,177104,1895936,2004480,0.945849,0,108544,0.000000,108544,6946816,0,0,0,0,0,0,2827904,6784,2834688,2827904,2827904,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,1.299617,1,1,1,8,15,16,0,0,4334656,14.334938,0.639541,1875,2873
R16,2,ctl-R16-s2-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,453216,126572,326644,1820352,2025152,0.898872,6144,204800,0.030000,198656,12713984,0,0,0,0,0,42068,5173368,11892,5227328,5215436,5215436,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999494,0,0,0.139540,2.427077,1,1,1,8,15,16,0,0,4658624,10.279037,0.751415,1904,2925
R16,2,ctl-R16-s2-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,190464,126572,63892,1986240,2025152,0.980786,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999494,0,0,0.139540,0.461145,1,1,1,8,15,16,0,0,4167104,21.878696,0.597976,1904,2925
R16,2,ctl-R16-s2-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,303676,126572,177104,1916608,2025152,0.946402,0,108544,0.000000,108544,6946816,0,0,0,0,0,0,2827904,6784,2834688,2827904,2827904,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999494,0,0,0.139540,1.286351,1,1,1,8,15,16,0,0,4376000,14.410095,0.659413,1904,2925
R16,3,ctl-R16-s3-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,452880,126012,326868,1811392,2016192,0.898422,6144,204800,0.030000,198656,12713984,0,0,0,0,0,46160,5173272,11480,5230912,5219432,5219432,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999492,0,0,0.101128,2.437863,1,1,1,8,15,16,0,0,4640704,10.247094,0.748691,1914,2968
R16,3,ctl-R16-s3-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,189904,126012,63892,1977280,2016192,0.980700,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999492,0,0,0.101128,0.463194,1,1,1,8,15,16,0,0,4149184,21.848850,0.609914,1914,2968
R16,3,ctl-R16-s3-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,303116,126012,177104,1907648,2016192,0.946164,0,108544,0.000000,108544,6946816,0,0,0,0,0,0,2827904,6784,2834688,2827904,2827904,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999492,0,0,0.101128,1.292067,1,1,1,8,15,16,0,0,4358080,14.377598,0.654890,1914,2968
R16,4,ctl-R16-s4-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,450636,123756,326880,1775296,1980096,0.896571,6144,204800,0.030000,198656,12713984,0,0,0,0,0,45252,5173580,12272,5231104,5218832,5218832,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999483,0,0,0.123264,2.482304,1,1,1,9,15,16,0,0,4568512,10.137921,0.736779,1882,2891
R16,4,ctl-R16-s4-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,187648,123756,63892,1941184,1980096,0.980348,0,38912,0.000000,38912,2490368,0,0,0,0,0,0,1016992,6304,1023296,1016992,1016992,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999483,0,0,0.123264,0.471638,1,1,1,8,15,16,0,0,4076992,21.726808,0.582291,1882,2891
R16,4,ctl-R16-s4-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,300860,123756,177104,1871552,1980096,0.945182,0,108544,0.000000,108544,6946816,0,0,0,0,0,0,2827904,6784,2834688,2827904,2827904,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999483,0,0,0.123264,1.315621,1,1,1,8,15,16,0,0,4285888,14.245456,0.637996,1882,2891
R9,0,ctl-R9-s0-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,253236,86384,166852,1135104,1382144,0.821263,242432,247040,0.981347,4608,294912,0,0,0,0,0,2476672,121436,73572,2671680,2598108,2598108,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998518,0,0,0.000434,4.289683,1,1,1,11,15,16,0,0,3263104,12.885624,0.497821,737,902
R9,0,ctl-R9-s0-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,93992,86384,7608,1377536,1382144,0.996666,0,4608,0.000000,4608,294912,0,0,0,0,0,0,120768,3008,123776,120768,120768,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998518,0,0,0.000434,0.080015,1,1,1,11,15,16,0,0,2778240,29.558260,0.384588,737,902
R9,0,ctl-R9-s0-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,290804,86384,204420,1233760,1382144,0.892642,38688,148384,0.260729,109696,7020544,0,0,0,0,0,374760,2866396,31612,3272768,3241156,3241156,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998518,0,0,0.000434,2.576588,1,1,1,10,15,16,0,0,3170880,10.903839,0.494662,737,902
R9,1,ctl-R9-s1-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,252232,66910,185322,823712,1070560,0.769422,242240,246848,0.981333,4608,294912,0,0,0,0,0,2779714,121142,66344,2967200,2900856,2900856,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998087,0,0,0.062934,5.533881,1,1,1,11,15,16,0,0,2639552,10.464778,0.410141,542,768
R9,1,ctl-R9-s1-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,74518,66910,7608,1065952,1070560,0.995696,0,4608,0.000000,4608,294912,0,0,0,0,0,0,120768,3008,123776,120768,120768,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998087,0,0,0.062934,0.103303,1,1,1,11,15,16,0,0,2155072,28.920154,0.298988,542,768
