_tag,_sample,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,374080,123108,250972,1815488,1969728,0.921695,1280,154240,0.008299,152960,2447360,0,0,0,0,0,5344,3988588,22644,4016576,3993932,3993932,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,1.879325,1,1,1,12,15,16,0,0,4400960,11.764756,0.674595,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,1,0,1,2,0,24,1,1,1,1,non_inclusive,lru,450240,123108,327132,1822684,1969728,0.925348,0,576,0.000000,152960,2447360,0,0,1691644,0,0,3488492,19296,35704,5235136,5199432,5989256,789824,0.131873,1968704,7196,146468,0,1701672,113368,0,0,0,0.078013,0.999480,0,0,0.110460,1.791646,1,2,2,13,23,24,0,0,6369664,14.147264,1.147975,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,2,0,1,2,0,24,1,1,1,1,non_inclusive,lru,393376,123108,270268,1831716,1969728,0.929933,0,576,0.000000,152960,2447360,0,0,1711932,0,0,2559948,19296,34136,4325312,4291176,6164096,1872920,0.303843,1968704,16228,137436,0,1635504,179536,0,0,0,0.078013,0.999480,0,0,0.110460,1.681597,1,2,3,20,24,24,0,0,6369664,16.192305,1.170129,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,4,0,1,2,0,24,1,1,1,1,non_inclusive,lru,356780,123108,233672,1832920,1969728,0.930545,0,576,0.000000,152960,2447360,0,0,1714900,0,0,1980164,19296,25416,3739776,3714360,7489092,3774732,0.504031,1968704,17432,136232,0,1598184,216856,0,0,0,0.078013,0.999480,0,0,0.110460,1.666927,2,3,5,23,24,24,0,0,6369664,17.853198,1.184266,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,2,1,1,1,non_inclusive,lru,374080,123108,250972,1815488,1969728,0.921695,1280,154240,0.008299,152960,2447360,0,0,0,0,0,5344,3988588,22644,4016576,3993932,3993932,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,3.758651,1,1,1,12,15,16,0,0,4400960,11.764756,0.678727,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,1,0,1,2,0,24,2,1,1,1,non_inclusive,lru,450196,123108,327088,1822672,1969728,0.925342,0,576,0.000000,152960,2447360,0,0,1691620,0,0,3488412,19296,35104,5234432,5199328,5989164,789836,0.131878,1968704,7184,146480,0,1701688,113352,0,0,0,0.078013,0.999480,0,0,0.110460,3.583585,1,2,2,13,23,24,0,0,6369664,14.148646,1.158400,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,2,0,1,2,0,24,2,1,1,1,non_inclusive,lru,393356,123108,270248,1831708,1969728,0.929929,0,576,0.000000,152960,2447360,0,0,1711924,0,0,2559612,19296,34160,4324992,4290832,6163516,1872684,0.303834,1968704,16220,137444,0,1635500,179540,0,0,0,0.078013,0.999480,0,0,0.110460,3.363388,1,2,3,20,24,26,0,0,6369664,16.193128,1.196658,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,4,0,1,2,0,24,2,1,1,1,non_inclusive,lru,356744,123108,233636,1832612,1969728,0.930388,0,576,0.000000,152960,2447360,0,0,1714328,0,0,1980448,19296,25128,3739200,3714072,7487920,3773848,0.503991,1968704,17124,136540,0,1598304,216736,0,0,0,0.078013,0.999480,0,0,0.110460,3.341359,2,3,5,23,24,32,4,0,6369952,17.855807,1.183748,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,4,1,1,1,non_inclusive,lru,374080,123108,250972,1815488,1969728,0.921695,1280,154240,0.008299,152960,2447360,0,0,0,0,0,5344,3988588,22644,4016576,3993932,3993932,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,7.517302,1,1,1,12,15,16,0,0,4400960,11.764756,0.673890,1842,2854
R16,0,khkw-R16-s0-16b,26ef6f0,cache,khkw,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,4,4,1,khkw_split,-1,16,20,32,12,1,next_burst,1,0,1,2,0,24,4,1,1,1,non_inclusive,lru,450196,123108,327088,1822672,1969728,0.925342,0,576,0.000000,152960,2447360,0,0,1691620,0,0,3488412,19296,35104,5234432,5199328,5989164,789836,0.131878,1968704,7184,146480,0,1701688,113352,0,0,0,0.078013,0.999480,0,0,0.110460,7.167170,1,2,2,13,23,24,0,0,6369664,14.148646,1.155185,1842,2854
