tag,layer,line_size_bytes,l2_banks,prefetch_distance,samples,wcache_cycles,wcache_cycles_spread,stage3_total_cycles,stage3_compute_per_node,speedup_vs_stage3_total,cycles_over_compute_floor,l1_hit_rate,l2_hit_rate,l1_accesses,l2_accesses,dram_accesses,dram_bytes,stall_total,hidden_fraction,pf_coverage,padding_fraction
R16,layer_16_layer3_0_conv2,16,1,0,5,374619.2,0.015,151485.4,124945.6,0.4044,2.9983,0.923056,0.010326,1999129.6,153804.8,152217.6,2435481.6,3995801.6,0.0,0.0,0.121
R16,layer_16_layer3_0_conv2,16,1,1,5,453912.8,0.0216,151485.4,124945.6,0.3337,3.6329,0.926416,0.022222,1999129.6,576.0,152217.6,2435481.6,5264499.2,0.1287,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,1,2,5,398890.4,0.0236,151485.4,124945.6,0.3798,3.1925,0.931088,0.022222,1999129.6,576.0,152217.6,2435481.6,4384140.8,0.2956,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,1,4,5,359310.4,0.0172,151485.4,124945.6,0.4216,2.8757,0.932469,0.022222,1999129.6,576.0,152217.6,2435481.6,3750860.8,0.4964,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,2,0,5,374619.2,0.015,151485.4,124945.6,0.4044,2.9983,0.923056,0.010326,1999129.6,153804.8,152217.6,2435481.6,3995801.6,0.0,0.0,0.121
R16,layer_16_layer3_0_conv2,16,2,1,5,453911.2,0.0217,151485.4,124945.6,0.3337,3.6329,0.926405,0.022222,1999129.6,576.0,152217.6,2435481.6,5264473.6,0.1287,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,2,2,5,398861.6,0.0237,151485.4,124945.6,0.3798,3.1923,0.931051,0.022222,1999129.6,576.0,152217.6,2435481.6,4383680.0,0.2956,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,2,4,5,359320.8,0.0172,151485.4,124945.6,0.4216,2.8758,0.932373,0.022222,1999129.6,576.0,152217.6,2435481.6,3751027.2,0.4964,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,4,0,5,374619.2,0.015,151485.4,124945.6,0.4044,2.9983,0.923056,0.010326,1999129.6,153804.8,152217.6,2435481.6,3995801.6,0.0,0.0,0.121
R16,layer_16_layer3_0_conv2,16,4,1,5,453911.2,0.0217,151485.4,124945.6,0.3337,3.6329,0.926405,0.022222,1999129.6,576.0,152217.6,2435481.6,5264473.6,0.1287,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,4,2,5,398873.6,0.0236,151485.4,124945.6,0.3798,3.1924,0.931017,0.022222,1999129.6,576.0,152217.6,2435481.6,4383872.0,0.2956,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,4,4,5,359319.2,0.0173,151485.4,124945.6,0.4216,2.8758,0.932374,0.022222,1999129.6,576.0,152217.6,2435481.6,3751001.6,0.4964,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,8,0,5,374619.2,0.015,151485.4,124945.6,0.4044,2.9983,0.923056,0.010326,1999129.6,153804.8,152217.6,2435481.6,3995801.6,0.0,0.0,0.121
R16,layer_16_layer3_0_conv2,16,8,1,5,453911.2,0.0217,151485.4,124945.6,0.3337,3.6329,0.926405,0.022222,1999129.6,576.0,152217.6,2435481.6,5264473.6,0.1287,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,8,2,5,398873.6,0.0236,151485.4,124945.6,0.3798,3.1924,0.931017,0.022222,1999129.6,576.0,152217.6,2435481.6,4383872.0,0.2956,0.0767,0.121
R16,layer_16_layer3_0_conv2,16,8,4,5,359319.2,0.0173,151485.4,124945.6,0.4216,2.8758,0.932374,0.022222,1999129.6,576.0,152217.6,2435481.6,3751001.6,0.4964,0.0767,0.121
R16,layer_16_layer3_0_conv2,32,1,0,5,252008.8,0.0137,151485.4,124945.6,0.6011,2.0169,0.961079,0.000329,1999129.6,77798.4,77772.8,2488729.6,2034035.2,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,32,1,1,5,366457.6,0.0212,151485.4,124945.6,0.4134,2.9329,0.961274,0.0,1999129.6,576.0,77772.8,2488729.6,3865216.0,0.0442,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,1,2,5,352958.4,0.0266,151485.4,124945.6,0.4292,2.8249,0.962031,0.0,1999129.6,576.0,77772.8,2488729.6,3649228.8,0.1006,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,1,4,5,317080.8,0.0309,151485.4,124945.6,0.4778,2.5378,0.964177,0.0,1999129.6,576.0,77772.8,2488729.6,3075187.2,0.2512,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,2,0,5,252008.8,0.0137,151485.4,124945.6,0.6011,2.0169,0.961079,0.000329,1999129.6,77798.4,77772.8,2488729.6,2034035.2,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,32,2,1,5,366457.6,0.0212,151485.4,124945.6,0.4134,2.9329,0.961274,0.0,1999129.6,576.0,77772.8,2488729.6,3865216.0,0.0442,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,2,2,5,352958.4,0.0266,151485.4,124945.6,0.4292,2.8249,0.962031,0.0,1999129.6,576.0,77772.8,2488729.6,3649228.8,0.1006,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,2,4,5,317111.2,0.0311,151485.4,124945.6,0.4777,2.538,0.964199,0.0,1999129.6,576.0,77772.8,2488729.6,3075673.6,0.2512,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,4,0,5,252008.8,0.0137,151485.4,124945.6,0.6011,2.0169,0.961079,0.000329,1999129.6,77798.4,77772.8,2488729.6,2034035.2,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,32,4,1,5,366457.6,0.0212,151485.4,124945.6,0.4134,2.9329,0.961274,0.0,1999129.6,576.0,77772.8,2488729.6,3865216.0,0.0442,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,4,2,5,352958.4,0.0266,151485.4,124945.6,0.4292,2.8249,0.962031,0.0,1999129.6,576.0,77772.8,2488729.6,3649228.8,0.1006,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,4,4,5,317110.4,0.0314,151485.4,124945.6,0.4777,2.538,0.964187,0.0,1999129.6,576.0,77772.8,2488729.6,3075660.8,0.2512,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,8,0,5,252008.8,0.0137,151485.4,124945.6,0.6011,2.0169,0.961079,0.000329,1999129.6,77798.4,77772.8,2488729.6,2034035.2,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,32,8,1,5,366457.6,0.0212,151485.4,124945.6,0.4134,2.9329,0.961274,0.0,1999129.6,576.0,77772.8,2488729.6,3865216.0,0.0442,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,8,2,5,352958.4,0.0266,151485.4,124945.6,0.4292,2.8249,0.962031,0.0,1999129.6,576.0,77772.8,2488729.6,3649228.8,0.1006,0.0386,0.1212
R16,layer_16_layer3_0_conv2,32,8,4,5,317110.4,0.0314,151485.4,124945.6,0.4777,2.538,0.964187,0.0,1999129.6,576.0,77772.8,2488729.6,3075660.8,0.2512,0.0386,0.1212
R16,layer_16_layer3_0_conv2,64,1,0,5,188837.6,0.0183,151485.4,124945.6,0.8022,1.5114,0.980533,0.0,1999129.6,38912.0,38912.0,2490368.0,1023296.0,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,64,1,1,5,308891.2,0.0224,151485.4,124945.6,0.4904,2.4722,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2944153.6,0.0254,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,1,2,5,304063.2,0.0228,151485.4,124945.6,0.4982,2.4336,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2866905.6,0.0509,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,1,4,5,294194.4,0.0242,151485.4,124945.6,0.5149,2.3546,0.980539,0.0,1999129.6,576.0,38912.0,2490368.0,2709004.8,0.1035,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,2,0,5,188837.6,0.0183,151485.4,124945.6,0.8022,1.5114,0.980533,0.0,1999129.6,38912.0,38912.0,2490368.0,1023296.0,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,64,2,1,5,308891.2,0.0224,151485.4,124945.6,0.4904,2.4722,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2944153.6,0.0254,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,2,2,5,304063.2,0.0228,151485.4,124945.6,0.4982,2.4336,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2866905.6,0.0509,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,2,4,5,294194.4,0.0242,151485.4,124945.6,0.5149,2.3546,0.980539,0.0,1999129.6,576.0,38912.0,2490368.0,2709004.8,0.1035,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,4,0,5,188837.6,0.0183,151485.4,124945.6,0.8022,1.5114,0.980533,0.0,1999129.6,38912.0,38912.0,2490368.0,1023296.0,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,64,4,1,5,308891.2,0.0224,151485.4,124945.6,0.4904,2.4722,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2944153.6,0.0254,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,4,2,5,304063.2,0.0228,151485.4,124945.6,0.4982,2.4336,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2866905.6,0.0509,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,4,4,5,294194.4,0.0242,151485.4,124945.6,0.5149,2.3546,0.980539,0.0,1999129.6,576.0,38912.0,2490368.0,2709004.8,0.1035,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,8,0,5,188837.6,0.0183,151485.4,124945.6,0.8022,1.5114,0.980533,0.0,1999129.6,38912.0,38912.0,2490368.0,1023296.0,0.0,0.0,0.1212
R16,layer_16_layer3_0_conv2,64,8,1,5,308891.2,0.0224,151485.4,124945.6,0.4904,2.4722,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2944153.6,0.0254,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,8,2,5,304063.2,0.0228,151485.4,124945.6,0.4982,2.4336,0.980533,0.0,1999129.6,576.0,38912.0,2490368.0,2866905.6,0.0509,0.0192,0.1212
R16,layer_16_layer3_0_conv2,64,8,4,5,294194.4,0.0242,151485.4,124945.6,0.5149,2.3546,0.980539,0.0,1999129.6,576.0,38912.0,2490368.0,2709004.8,0.1035,0.0192,0.1212
R9,layer_09_layer2_0_conv2,16,1,0,5,107652.4,0.1812,77142.4,77142.4,0.7166,1.3955,0.984894,0.0,1234278.4,18432.0,18432.0,294912.0,490208.0,0.0,0.0,0.0386
R9,layer_09_layer2_0_conv2,16,1,1,5,175759.2,0.2205,77142.4,77142.4,0.4389,2.2784,0.986859,0.0,1234278.4,128.0,18432.0,294912.0,1579916.8,0.1007,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,1,2,5,173096.0,0.2209,77142.4,77142.4,0.4457,2.2439,0.986134,0.0,1234278.4,128.0,18432.0,294912.0,1537305.6,0.1699,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,1,4,5,170873.2,0.2217,77142.4,77142.4,0.4515,2.215,0.98615,0.0,1234278.4,128.0,18432.0,294912.0,1501740.8,0.2905,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,2,0,5,107652.4,0.1812,77142.4,77142.4,0.7166,1.3955,0.984894,0.0,1234278.4,18432.0,18432.0,294912.0,490208.0,0.0,0.0,0.0386
R9,layer_09_layer2_0_conv2,16,2,1,5,175758.0,0.2205,77142.4,77142.4,0.4389,2.2784,0.986815,0.0,1234278.4,128.0,18432.0,294912.0,1579897.6,0.1007,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,2,2,5,173089.2,0.2208,77142.4,77142.4,0.4457,2.2438,0.985993,0.0,1234278.4,128.0,18432.0,294912.0,1537196.8,0.1696,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,2,4,5,171563.2,0.2204,77142.4,77142.4,0.4496,2.224,0.985985,0.0,1234278.4,128.0,18432.0,294912.0,1512780.8,0.299,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,4,0,5,107652.4,0.1812,77142.4,77142.4,0.7166,1.3955,0.984894,0.0,1234278.4,18432.0,18432.0,294912.0,490208.0,0.0,0.0,0.0386
R9,layer_09_layer2_0_conv2,16,4,1,5,175757.6,0.2206,77142.4,77142.4,0.4389,2.2784,0.986807,0.0,1234278.4,128.0,18432.0,294912.0,1579891.2,0.1007,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,4,2,5,173090.0,0.2209,77142.4,77142.4,0.4457,2.2438,0.985958,0.0,1234278.4,128.0,18432.0,294912.0,1537209.6,0.1694,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,4,4,5,171834.0,0.219,77142.4,77142.4,0.4489,2.2275,0.985987,0.0,1234278.4,128.0,18432.0,294912.0,1517113.6,0.3019,0.015,0.0386
R9,layer_09_layer2_0_conv2,16,8,0,5,107652.4,0.1812,77142.4,77142.4,0.7166,1.3955,0.984894,0.0,1234278.4,18432.0,18432.0,294912.0,490208.0,0.0,0.0,0.0386
