run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
w0-V8-s0,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,162352,162352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V8-s1,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,1,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,148272,148272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V8-s2,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,2,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,146200,146200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V8-s3,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,3,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,156016,156016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V8-s4,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,4,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,162512,162512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V9-s0,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_09_features_30,0,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,312192,312192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V9-s1,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_09_features_30,1,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,306872,306872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V9-s2,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_09_features_30,2,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,312424,312424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V9-s3,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_09_features_30,3,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,313776,313776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-V9-s4,,spad_oracle,baseline,loas,16,vgg16_T4_n5,layer_09_features_30,4,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,302864,302864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R9-s0,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,0,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,86384,86384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R9-s1,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,1,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,66910,66910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R9-s2,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,68358,68358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R9-s3,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,78954,78954,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R9-s4,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,85106,85106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R16-s0,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,123108,123108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R16-s1,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,125280,125280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R16-s2,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,126572,126572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R16-s3,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,126012,126012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w0-R16-s4,,spad_oracle,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,4,16384,8,1024,128,2097152,16,131072,8192,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,123756,123756,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
