_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
V8,0,C2,w5-V8-s0-C2-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,1966080,16,122880,7680,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3867478,162352,3705126,0,2597632,0.000000,2327392,2597632,0.895967,270240,4323840,0,0,0,0,0,28843070,29913252,527742,59284064,58756322,58756322,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,100.000000,1,1,1,8,15,16,0,0,10660896,2.756550,1.661304,1226,1875
V8,0,C2,w5-V8-s0-C2-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,1966080,16,122880,7680,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,4384764,162352,4222412,186560,2597632,0.071819,2011352,2411072,0.834215,399720,6395520,0,0,0,0,0,21495658,44088668,1976314,67560640,65584326,65584326,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,92.818074,1,1,1,9,14,16,0,0,10417256,2.375785,1.674436,1226,1875
V8,0,C3,w5-V8-s0-C3-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,1024,1024,1,1966080,16,122880,7680,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3765604,162352,3603252,113536,2597632,0.043707,2213088,2484096,0.890903,271008,4336128,0,0,0,0,0,27153346,29984532,516202,57654080,57137878,57137878,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,95.629250,1,1,1,9,15,16,0,0,10434592,2.771027,15.281007,1226,1875
V8,0,C3,w5-V8-s0-C3-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,1024,1024,1,1966080,16,122880,7680,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3765604,162352,3603252,113536,2597632,0.043707,2213088,2484096,0.890903,271008,4336128,0,0,0,0,0,27153346,29984532,516202,57654080,57137878,57137878,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.000000,95.629250,1,1,1,9,15,16,0,0,10434592,2.771027,16.086211,1226,1875
V8,0,C4,w5-V8-s0-C4-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,256,32,1966080,16,30720,1920,64,4,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,4963980,162352,4801628,1176960,2597632,0.453090,813472,1420672,0.572597,607200,38860800,0,0,0,0,0,9736448,66843614,248034,76828096,76580062,76580062,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.104167,54.691042,1,1,1,13,16,16,0,0,8643936,1.741332,1.387297,1226,1875
V8,0,C4,w5-V8-s0-C4-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,256,32,1966080,16,30720,1920,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,10,0,100,1,1,1,1,non_inclusive,lru,5040612,162352,4878260,1185600,2597632,0.456416,795720,1412032,0.563528,616312,39443968,0,0,0,0,0,8968520,67874558,1211130,78054208,76843078,76843078,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999212,0,0,0.104167,54.358431,1,1,1,13,16,16,0,0,8635768,1.713238,1.417276,1226,1875
V8,0,C5,w5-V8-s0-C5-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,1966080,16,122880,7680,16,1,16,1,block_pack,-1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3021148,162352,2858796,670122,2597632,0.257974,1888,2048,0.921875,270240,4323840,0,0,430526,0,0,44758274,18800,535184,45742784,45207600,235956498,190748898,0.808407,2595584,670122,1925462,0,0,0,0,0,0,0.999212,0.999212,0,0,0.000000,74.202581,4,5,5,14,19,20,60,0,13367388,4.424605,2.666791,1226,1875
V8,0,C5,w5-V8-s0-C5-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,1024,128,1966080,16,122880,7680,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3063778,162352,2901426,1039496,2597632,0.400171,1536,2048,0.750000,399722,6395552,0,0,622008,0,0,44712888,59808,1030160,46424864,45394704,226335536,180940832,0.799436,2595584,852936,1556088,0,186560,0,0,0,0,0.927392,0.999212,0,0,0.000000,59.982938,4,5,5,16,19,20,60,0,13219718,4.314842,2.708118,1226,1875
V8,0,C6,w5-V8-s0-C6-block_pack,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,256,32,1966080,16,30720,1920,64,4,16,1,block_pack,-1,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3808272,162352,3645920,1505982,2597632,0.579752,1184,2048,0.578125,607200,38860800,0,0,770674,0,0,57056814,101520,407760,58336768,57929008,186464962,128535954,0.689330,2595584,329022,1089602,0,63554,1113406,0,0,0,0.546122,0.999212,0,0,0.104167,42.024813,2,4,5,17,19,20,60,0,11780612,3.093427,2.398171,1226,1875
V8,0,C6,w5-V8-s0-C6-split_cin,,cache,baseline,loas,16,vgg16_T4_n5,layer_08_features_27,0,16384,8,256,32,1966080,16,30720,1920,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,10,0,100,1,1,1,1,non_inclusive,lru,3840872,162352,3678520,1512378,2597632,0.582214,1104,1952,0.565574,616360,39447040,0,0,780596,0,0,57319196,99592,658984,58858368,58199384,185947982,127748598,0.687013,2595584,326778,1083302,0,76388,1109116,0,0,0,0.542833,0.999212,0,0,0.104167,41.778589,2,4,5,17,19,20,59,0,11790120,3.069647,2.407919,1226,1875
