_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C2,w5b-R16-s0-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,5939483,123108,5816375,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,4427401,88535576,100047,93063024,92962977,92962977,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,48.365663,1,1,1,12,15,16,0,0,9225024,1.553170,2.413664,1842,2854
R16,0,C3,w5b-R16-s0-C3-block_pack,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,5947960,123108,5824852,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,4669287,88445870,83499,93198656,93115157,93115157,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,48.918023,1,1,1,12,15,16,0,0,9267104,1.558031,12.842611,1842,2854
R16,0,C3,w5b-R16-s0-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,5947960,123108,5824852,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,4669287,88445870,83499,93198656,93115157,93115157,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,48.918023,1,1,1,12,15,16,0,0,9267104,1.558031,15.182588,1842,2854
R16,0,C4,w5b-R16-s0-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,3027144,123108,2904036,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,323276,46124112,18212,46465600,46447388,46447388,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,20.134760,1,1,1,9,15,16,0,0,6294480,2.079346,1.485796,1842,2854
R16,0,C5,w5b-R16-s0-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,4503072,123108,4379964,495971,1969728,0.251797,416,784,0.530612,1474816,23597056,0,0,206587,0,0,69748093,24840,100928,70080448,69979520,352028816,282049296,0.801211,1968704,431587,1472973,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,37.410165,4,5,5,16,17,20,60,0,12638130,2.806557,3.713784,1842,2854
R16,0,C6,w5b-R16-s0-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,2336783,123108,2213675,1268759,1969728,0.644129,64,976,0.065574,768560,49187840,0,0,669487,0,0,34600469,61560,88308,35419824,35331516,89824450,54492934,0.606660,1968704,92231,699993,0,27555,1148925,0,0,0,0.402200,0.999480,0,0,0.110460,17.793548,2,3,5,16,17,20,43,0,9026970,3.862990,2.509988,1842,2854
R16,1,C2,w5b-R16-s1-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,6090064,125280,5964784,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,4357808,90981619,98141,95437568,95339427,95339427,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,48.379231,1,1,1,12,15,16,0,0,9403616,1.544091,2.371876,1875,2873
R16,1,C3,w5b-R16-s1-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,6099302,125280,5974022,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,4560311,90938762,86303,95585376,95499073,95499073,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,48.870530,1,1,1,12,15,16,0,0,9442352,1.548104,15.299509,1875,2873
R16,1,C4,w5b-R16-s1-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,10,0,50,1,1,1,1,non_inclusive,lru,3031032,125280,2905752,1211632,2004480,0.604462,23424,792848,0.029544,769424,49243136,0,0,0,0,0,301664,46175448,15944,46493056,46477112,46477112,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,19.776900,1,1,1,9,15,16,0,0,6364144,2.099662,1.654506,1875,2873
R16,1,C5,w5b-R16-s1-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,10,0,50,1,1,1,1,non_inclusive,lru,4619366,125280,4494086,494433,2004480,0.246664,256,1024,0.250000,1515584,24249344,0,0,202252,0,0,71550024,51840,102284,71906400,71804116,361327510,289523394,0.801277,2003456,429457,1509023,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,37.666801,4,5,5,16,17,20,60,0,12894060,2.791305,3.837014,1875,2873
