_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C2,w5b-R16-s0-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4436652,123108,4313544,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,2395180,66477084,145464,69017728,68872264,68872264,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,38.692530,1,1,1,13,15,16,0,0,9225024,2.079276,2.376529,1842,2854
R16,0,C3,w5b-R16-s0-C3-block_pack,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4442904,123108,4319796,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2565814,66415971,135975,69117760,68981785,68981785,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,39.134419,1,1,1,13,15,16,0,0,9267104,2.085821,12.793516,1842,2854
R16,0,C3,w5b-R16-s0-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4442904,123108,4319796,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2565814,66415971,135975,69117760,68981785,68981785,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,39.134419,1,1,1,13,15,16,0,0,9267104,2.085821,15.373387,1842,2854
R16,0,C4,w5b-R16-s0-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,2305835,123108,2182727,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,303224,34598496,22936,34924656,34901720,34901720,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,16.107808,1,1,1,10,15,16,0,0,6294480,2.729805,1.536879,1842,2854
R16,0,C5,w5b-R16-s0-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,3558931,123108,3435823,560607,1969728,0.284611,416,784,0.530612,1474816,23597056,0,0,226077,0,0,54648161,19320,80634,54974192,54893558,277524571,222631013,0.802203,1968704,496223,1408337,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,28.615545,4,5,5,17,18,20,60,0,12621187,3.546342,3.739023,1842,2854
R16,0,C6,w5b-R16-s0-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,1786857,123108,1663749,1277241,1969728,0.648435,64,976,0.065574,768560,49187840,0,0,678982,0,0,25809870,47880,84276,26621008,26536732,68392797,41856065,0.611995,1968704,100713,691511,0,25412,1151068,0,0,0,0.402200,0.999480,0,0,0.110460,14.062591,2,3,5,17,19,20,44,0,9027477,5.052154,2.632617,1842,2854
R16,1,C2,w5b-R16-s1-C2-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4551137,125280,4425857,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,2359651,68307549,147536,70814736,70667200,70667200,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,38.703384,1,1,1,13,15,16,0,0,9403616,2.066212,2.510813,1875,2873
R16,1,C3,w5b-R16-s1-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4557222,125280,4431942,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,2497775,68280541,133780,70912096,70778316,70778316,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,39.096424,1,1,1,13,15,16,0,0,9442352,2.071953,16.426701,1875,2873
R16,1,C4,w5b-R16-s1-C4-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,2309325,125280,2184045,1211632,2004480,0.604462,23424,792848,0.029544,769424,49243136,0,0,0,0,0,286324,34638684,20736,34945744,34925008,34925008,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.131510,15.821520,1,1,1,10,15,16,0,0,6364144,2.755846,1.574750,1875,2873
R16,1,C5,w5b-R16-s1-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,3639835,125280,3514555,557557,2004480,0.278155,256,1024,0.250000,1515584,24249344,0,0,222000,0,0,55885849,40320,85735,56233904,56148169,283940388,227792219,0.802254,2003456,492581,1445899,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,28.873783,4,5,5,17,18,20,60,0,12880945,3.538882,3.961578,1875,2873
