_tag,_sample,_config,_banks,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C2,1,w5d-R16-s0-C2-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4436652,123108,4313544,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,2395180,66477084,145464,69017728,68872264,68872264,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,38.692530,1,1,1,13,15,16,0,0,9225024,2.079276,5.061291,1842,2854
R16,0,C2,2,w5d-R16-s0-C2-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,2,1,1,1,non_inclusive,lru,4420655,123108,4297547,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,2222145,66412577,127054,68761776,68634722,68634722,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,77.385060,1,1,1,13,15,16,0,0,9225024,2.086800,5.291175,1842,2854
R16,0,C2,4,w5d-R16-s0-C2-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,4,1,1,1,non_inclusive,lru,4412870,123108,4289762,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,2186692,66387660,62864,68637216,68574352,68574352,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,154.770121,1,1,1,13,15,16,0,0,9225024,2.090482,4.715425,1842,2854
R16,0,C2,8,w5d-R16-s0-C2-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,8,1,1,1,non_inclusive,lru,4407659,123108,4284551,64384,1969728,0.032687,430528,1905344,0.225958,1474816,23597056,0,0,0,0,0,2163177,66373097,17566,68553840,68536274,68536274,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,309.540241,1,1,1,11,15,16,0,0,9225024,2.092953,4.411364,1842,2854
R16,0,C3,1,w5d-R16-s0-C3-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4442904,123108,4319796,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2565814,66415971,135975,69117760,68981785,68981785,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,39.134419,1,1,1,13,15,16,0,0,9267104,2.085821,39.577320,1842,2854
R16,0,C3,2,w5d-R16-s0-C3-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,2,1,1,1,non_inclusive,lru,4415406,123108,4292298,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2314929,66320089,42774,68677792,68635018,68635018,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,78.268837,1,1,1,12,15,16,0,0,9267104,2.098811,39.020800,1842,2854
R16,0,C3,4,w5d-R16-s0-C3-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,4,1,1,1,non_inclusive,lru,4409803,123108,4286695,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2269948,66308652,9544,68588144,68578600,68578600,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,156.537674,1,1,1,10,15,16,0,0,9267104,2.101478,39.815203,1842,2854
R16,0,C3,8,w5d-R16-s0-C3-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,8,1,1,1,non_inclusive,lru,4409737,123108,4286629,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,2269040,66309272,8776,68587088,68578312,68578312,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,313.075348,1,1,1,10,15,16,0,0,9267104,2.101509,39.013353,1842,2854
R16,0,C4,1,w5d-R16-s0-C4-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,2305835,123108,2182727,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,303224,34598496,22936,34924656,34901720,34901720,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,16.107808,1,1,1,10,15,16,0,0,6294480,2.729805,2.867850,1842,2854
R16,0,C4,2,w5d-R16-s0-C4-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,2,1,1,1,non_inclusive,lru,2295679,123108,2172571,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,148636,34593908,19616,34762160,34742544,34742544,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,32.215616,1,1,1,9,15,16,0,0,6294480,2.741882,3.362616,1842,2854
R16,0,C4,4,w5d-R16-s0-C4-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,4,1,1,1,non_inclusive,lru,2293343,123108,2170235,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,123680,34592400,8704,34724784,34716080,34716080,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,64.431231,1,1,1,9,15,16,0,0,6294480,2.744674,2.828906,1842,2854
R16,0,C4,8,w5d-R16-s0-C4-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,none,0,0,1,5,0,40,8,1,1,1,non_inclusive,lru,2293343,123108,2170235,1176528,1969728,0.597305,24640,793200,0.031064,768560,49187840,0,0,0,0,0,123680,34592400,8704,34724784,34716080,34716080,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.110460,128.862462,1,1,1,9,15,16,0,0,6294480,2.744674,3.046460,1842,2854
R16,0,C5,1,w5d-R16-s0-C5-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,3558931,123108,3435823,560607,1969728,0.284611,416,784,0.530612,1474816,23597056,0,0,226077,0,0,54648161,19320,80634,54974192,54893558,277524571,222631013,0.802203,1968704,496223,1408337,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,28.615545,4,5,5,17,18,20,60,0,12621187,3.546342,7.918899,1842,2854
R16,0,C5,2,w5d-R16-s0-C5-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,2,1,1,1,non_inclusive,lru,3337223,123108,3214115,641425,1969728,0.325641,416,886,0.469526,1474816,23597056,0,0,311156,11516,0,50992909,14222,97061,51426864,51329803,260351880,209022077,0.802845,1968704,577041,1327519,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,53.948687,4,5,5,18,19,20,60,0,12652592,3.791353,7.656486,1842,2854
R16,0,C5,4,w5d-R16-s0-C5-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,4,1,1,1,non_inclusive,lru,3324644,123108,3201536,667547,1969728,0.338903,416,972,0.427984,1474816,23597056,0,0,337855,19829,0,50781433,9602,76881,51225600,51148719,259507691,208358972,0.802901,1968704,603163,1301397,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,105.775498,4,5,5,17,19,20,60,0,12656411,3.806847,8.234608,1842,2854
R16,0,C5,8,w5d-R16-s0-C5-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,5,0,40,8,1,1,1,non_inclusive,lru,3323777,123108,3200669,674562,1969728,0.342465,416,1014,0.410256,1474816,23597056,0,0,339051,29895,0,50759723,7307,75752,51211728,51135976,259444641,208308665,0.802902,1968704,610178,1294382,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,210.411346,4,5,5,17,19,20,60,0,12656273,3.807798,8.041520,1842,2854
R16,0,C6,1,w5d-R16-s0-C6-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,1,1,1,1,non_inclusive,lru,1786857,123108,1663749,1277241,1969728,0.648435,64,976,0.065574,768560,49187840,0,0,678982,0,0,25809870,47880,84276,26621008,26536732,68392797,41856065,0.611995,1968704,100713,691511,0,25412,1151068,0,0,0,0.402200,0.999480,0,0,0.110460,14.062591,2,3,5,17,19,20,44,0,9027477,5.052154,5.244715,1842,2854
R16,0,C6,2,w5d-R16-s0-C6-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,2,1,1,1,non_inclusive,lru,1748731,123108,1625623,1285978,1969728,0.652871,64,1274,0.050235,768560,49187840,0,0,691568,28274,0,25161659,33020,96471,26010992,25914521,66636589,40722068,0.611107,1968704,109450,682774,0,27985,1148495,0,0,0,0.402200,0.999480,0,0,0.110460,27.770332,2,3,5,18,19,20,44,0,9027951,5.162573,5.266633,1842,2854
R16,0,C6,4,w5d-R16-s0-C6-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,4,1,1,1,non_inclusive,lru,1743807,123108,1620699,1294993,1969728,0.657448,64,1312,0.048780,768560,49187840,0,0,709034,33097,0,25048518,30834,110725,25932208,25821483,66302287,40480804,0.610549,1968704,118465,673759,0,28330,1148150,0,0,0,0.402200,0.999480,0,0,0.110460,54.808380,2,3,5,17,19,20,47,0,9027803,5.177065,5.573755,1842,2854
R16,0,C6,8,w5d-R16-s0-C6-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,5,0,40,8,1,1,1,non_inclusive,lru,1743483,123108,1620375,1301468,1969728,0.660735,64,1312,0.048780,768560,49187840,0,0,718559,33097,0,25026779,30834,117755,25927024,25809269,66237104,40427835,0.610350,1968704,124940,667284,0,26961,1149519,0,0,0,0.402200,0.999480,0,0,0.110460,108.564837,2,3,5,17,19,20,47,0,9027454,5.177827,5.360537,1842,2854
R16,1,C2,1,w5d-R16-s1-C2-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4551137,125280,4425857,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,2359651,68307549,147536,70814736,70667200,70667200,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,38.703384,1,1,1,13,15,16,0,0,9403616,2.066212,4.477071,1875,2873
R16,1,C2,2,w5d-R16-s1-C2-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,2,1,1,1,non_inclusive,lru,4534633,125280,4409353,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,2186837,68244863,118972,70550672,70431700,70431700,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,77.406769,1,1,1,13,15,16,0,0,9403616,2.073733,4.693624,1875,2873
R16,1,C2,4,w5d-R16-s1-C2-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,4,1,1,1,non_inclusive,lru,4527811,125280,4402531,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,2150917,68223152,67451,70441520,70374069,70374069,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,154.813538,1,1,1,13,15,16,0,0,9403616,2.076857,5.201076,1875,2873
R16,1,C2,8,w5d-R16-s1-C2-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,none,0,0,1,5,0,40,8,1,1,1,non_inclusive,lru,4522306,125280,4397026,64976,2004480,0.032415,423920,1939504,0.218571,1515584,24249344,0,0,0,0,0,2128167,68210263,15010,70353440,70338430,70338430,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,309.627075,1,1,1,11,15,16,0,0,9403616,2.079385,4.603231,1875,2873
R16,1,C3,1,w5d-R16-s1-C3-b1,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,1,1,1,1,non_inclusive,lru,4557222,125280,4431942,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,2497775,68280541,133780,70912096,70778316,70778316,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,39.096424,1,1,1,13,15,16,0,0,9442352,2.071953,38.087893,1875,2873
R16,1,C3,2,w5d-R16-s1-C3-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,2,1,1,1,non_inclusive,lru,4531245,125280,4405965,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,2268567,68190103,37794,70496464,70458670,70458670,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,78.192848,1,1,1,12,15,16,0,0,9442352,2.083832,38.292346,1875,2873
R16,1,C3,4,w5d-R16-s1-C3-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,4,1,1,1,non_inclusive,lru,4525905,125280,4400625,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,2222112,68179212,9700,70411024,70401324,70401324,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,156.385696,1,1,1,10,15,16,0,0,9442352,2.086290,37.631622,1875,2873
R16,1,C3,8,w5d-R16-s1-C3-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,5,0,40,8,1,1,1,non_inclusive,lru,4525828,125280,4400548,45280,2004480,0.022589,444272,1959200,0.226762,1514928,24238848,0,0,0,0,0,2221600,68179344,8848,70409792,70400944,70400944,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999489,0,0,0.000000,312.771392,1,1,1,10,15,16,0,0,9442352,2.086326,38.122104,1875,2873
