_tag,_sample,_config,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C3,w5b-R16-s0-C3-block_pack,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,block_pack,-1,16,20,20,12,1,none,0,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3341034,123108,3217926,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,3973728,47334086,180026,51487840,51307814,51307814,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,23.480651,1,1,1,11,13,16,0,0,9267104,2.773723,12.910103,1842,2854
R16,0,C3,w5b-R16-s0-C3-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,1024,1024,1,524288,16,32768,2048,16,1,16,1,split_cin,1,16,20,20,12,1,none,0,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3341034,123108,3217926,42624,1969728,0.021640,453728,1927104,0.235446,1473376,23574016,0,0,0,0,0,3973728,47334086,180026,51487840,51307814,51307814,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.999480,0,0,0.000000,23.480651,1,1,1,11,13,16,0,0,9267104,2.773723,13.444430,1842,2854
R16,0,C5,w5b-R16-s0-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3202634,123108,3079526,470949,1969728,0.239093,416,784,0.530612,1474816,23597056,0,0,159366,0,0,49036345,14536,63193,49273440,49210247,249917247,200707000,0.803094,1968704,406565,1497995,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,18.261758,4,5,5,11,14,20,52,0,12487617,3.899171,3.729260,1842,2854
R16,0,C6,w5b-R16-s0-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1549777,123108,1426669,1269424,1969728,0.644467,64,976,0.065574,768560,49187840,0,0,661636,0,0,22044056,36024,86012,22827728,22741716,59272209,36530493,0.616317,1968704,92896,699328,0,25521,1150959,0,0,0,0.402200,0.999480,0,0,0.110460,8.532800,2,3,5,12,14,20,37,0,9010075,5.813788,2.717355,1842,2854
R16,1,C5,w5b-R16-s1-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3342884,125280,3217604,480121,2004480,0.239524,256,1024,0.250000,1515584,24249344,0,0,158599,0,0,51226247,30336,67506,51482688,51415182,260932714,209517532,0.802956,2003456,415145,1523335,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,18.251425,4,5,5,11,13,20,52,0,12806769,3.831054,3.749443,1875,2873
R16,1,C6,w5b-R16-s1-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1548513,125280,1423233,1306321,2004480,0.651701,64,976,0.065574,769424,49243136,0,0,694157,0,0,21947546,36024,95025,22772752,22677727,57808972,35131245,0.607713,2003456,94689,697183,0,25933,1185651,0,0,0,0.395051,0.999489,0,0,0.131510,8.359183,2,3,5,12,14,20,36,0,9113596,5.885386,2.691196,1875,2873
R16,2,C5,w5b-R16-s2-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3385842,126572,3259270,479419,2025152,0.236732,112,976,0.114754,1535856,24573696,0,0,160480,0,0,51887817,34128,66919,52149344,52082425,264239294,212156869,0.802897,2024128,414075,1544757,0,65296,0,0,0,0,0.967252,0.999494,0,0,0.000000,18.318424,4,5,5,11,13,20,52,0,12952436,3.825470,3.690758,1904,2925
R16,2,C6,w5b-R16-s2-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1562307,126572,1435735,1319112,2025152,0.651364,64,976,0.065574,774688,49580032,0,0,704200,0,0,22146074,36024,86486,22972784,22886298,58058630,35172332,0.605807,2024128,92200,705064,0,24735,1202129,0,0,0,0.393681,0.999494,0,0,0.139540,8.367253,2,3,5,12,14,20,35,0,9200647,5.889142,2.643844,1904,2925
R16,3,C5,w5b-R16-s3-C5-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,3372616,126012,3246604,471877,2016192,0.234044,304,1024,0.296875,1538112,24609792,0,0,156983,0,0,51687566,28440,73699,51946688,51872989,263801643,211928654,0.803364,2015168,410661,1543291,0,61216,0,0,0,0,0.969130,0.999492,0,0,0.000000,18.382952,4,5,5,11,13,20,52,0,12909986,3.827885,3.604639,1914,2968
R16,3,C6,w5b-R16-s3-C6-split_cin,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1547552,126012,1421540,1313496,2016192,0.651474,0,1024,0.000000,768528,49185792,0,0,705120,0,0,21886998,40448,113098,22745664,22632566,58441993,35809427,0.612735,2015168,91176,701672,0,28260,1194060,0,0,0,0.393240,0.999492,0,0,0.101128,8.364632,2,3,5,12,14,20,44,0,9146896,5.910558,2.650129,1914,2968
