_tag,_sample,_config,_banks,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C5,2,w5d-R16-s0-C5-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,2416516,123108,2293408,672899,1969728,0.341620,416,886,0.469526,1474816,23597056,0,0,281068,10190,0,36290276,10764,103254,36695552,36592298,187778392,151186094,0.805130,1968704,608515,1296045,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,31.602227,4,5,5,15,16,20,58,0,12628148,5.225766,8.277997,1842,2854
R16,0,C5,4,w5d-R16-s0-C5-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,2368212,123108,2245104,654070,1969728,0.332061,416,972,0.427984,1474816,23597056,0,0,285436,15106,0,35534231,7262,80653,35922688,35842035,184166640,148324605,0.805383,1968704,589686,1314874,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,64.122137,4,5,5,15,16,20,60,0,12646298,5.340019,8.109627,1842,2854
R16,0,C5,8,w5d-R16-s0-C5-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,2364193,123108,2241085,626050,1969728,0.317836,416,1014,0.410256,1474816,23597056,0,0,276867,21913,0,35482931,5513,71160,35858384,35787224,183900332,148113108,0.805399,1968704,561666,1342894,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,130.975534,4,5,5,15,17,20,60,0,12646937,5.349367,7.342018,1842,2854
R16,0,C6,2,w5d-R16-s0-C6-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,1255256,123108,1132148,1289694,1969728,0.654757,64,1274,0.050235,768560,49187840,0,0,689368,20638,0,17279601,25038,100747,18115392,18014645,47268812,29254167,0.618889,1968704,113166,679058,0,23996,1152484,0,0,0,0.402200,0.999480,0,0,0.110460,16.571644,2,3,5,15,16,20,41,0,9025119,7.189863,5.811292,1842,2854
R16,0,C6,4,w5d-R16-s0-C6-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,1244631,123108,1121523,1276331,1969728,0.647973,64,1312,0.048780,768560,49187840,0,0,671255,24168,0,17127445,23346,99178,17945392,17846214,46854613,29008399,0.619115,1968704,99803,692421,0,22328,1154152,0,0,0,0.402200,0.999480,0,0,0.110460,33.794571,2,3,5,15,16,20,43,0,9023461,7.249909,5.763488,1842,2854
R16,0,C6,8,w5d-R16-s0-C6-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,1243057,123108,1119949,1271001,1969728,0.645267,64,1312,0.048780,768560,49187840,0,0,663073,24168,0,17112639,23346,96982,17920208,17823226,46757506,28934280,0.618816,1968704,94473,697751,0,22405,1154075,0,0,0,0.402200,0.999480,0,0,0.110460,68.108685,2,3,5,14,17,20,42,0,9021469,7.257486,5.525288,1842,2854
R16,1,C5,2,w5d-R16-s1-C5-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,2480010,125280,2354730,666084,2004480,0.332298,256,1280,0.200000,1515584,24249344,0,0,275706,21815,0,37246573,20880,111730,37676704,37564974,192780927,155215953,0.805142,2003456,601108,1337372,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,32.049713,4,5,5,15,16,20,59,0,12885078,5.195575,8.161794,1875,2873
R16,1,C5,4,w5d-R16-s1-C5-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,2434508,125280,2309228,647952,2004480,0.323252,256,1464,0.174863,1515584,24249344,0,0,280726,37893,0,36532282,13068,84703,36948672,36863969,189415014,152551045,0.805380,2003456,582976,1355504,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,64.967816,4,5,5,15,16,20,60,0,12900967,5.299209,8.099797,1875,2873
R16,1,C5,8,w5d-R16-s1-C5-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,2429914,125280,2304634,622983,2004480,0.310795,256,1498,0.170895,1515584,24249344,0,0,272116,42827,0,36476698,11676,71851,36875168,36803317,189126078,152322761,0.805403,2003456,558007,1380473,0,64976,0,0,0,0,0.967074,0.999489,0,0,0.000000,132.327299,4,5,5,15,16,20,60,0,12901880,5.309604,8.213364,1875,2873
R16,1,C6,2,w5d-R16-s1-C6-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,1256429,125280,1131149,1324386,2004480,0.660713,64,1210,0.052893,769424,49243136,0,0,720685,16122,0,17229453,27262,105886,18099408,17993522,46295134,28301612,0.611330,2003456,112754,679118,0,24603,1186981,0,0,0,0.395051,0.999489,0,0,0.131510,16.285776,2,3,5,15,16,20,38,0,9130142,7.266739,5.660639,1875,2873
