_tag,_sample,_config,_banks,_mshrs,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,0,C5,1,32,w5g-R16-s0-C5-b1-m32,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,32,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1908371,123108,1785263,379563,1969728,0.192698,416,784,0.530612,1474816,23597056,0,0,113910,0,0,28382144,14536,54642,28565232,28510590,147143547,118632957,0.806240,1968704,315179,1589381,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,19.375244,4,5,5,22,24,24,0,0,11193728,5.865593,9.923892,1842,2854
R16,0,C5,1,64,w5g-R16-s0-C5-b1-m64,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,64,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,1908371,123108,1785263,379563,1969728,0.192698,416,784,0.530612,1474816,23597056,0,0,113910,0,0,28382144,14536,54642,28565232,28510590,147143547,118632957,0.806240,1968704,315179,1589381,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,19.375244,4,5,5,22,24,24,0,0,11193728,5.865593,9.197632,1842,2854
R16,0,C5,2,32,w5g-R16-s0-C5-b2-m32,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,32,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,1725872,123108,1602764,744289,1969728,0.377864,416,784,0.530612,1474816,23597056,0,0,280525,0,0,25188516,16548,159659,25645248,25485589,133023247,107537658,0.808413,1968704,679905,1224655,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,29.862535,4,5,5,21,27,32,44,0,12425288,7.199426,11.541785,1842,2854
R16,0,C5,2,64,w5g-R16-s0-C5-b2-m64,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,64,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,1522227,123108,1399119,670866,1969728,0.340588,416,784,0.530612,1474816,23597056,0,0,264113,0,0,21959998,16548,146269,22386928,22240659,116952206,94711547,0.809831,1968704,606482,1298078,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,31.651769,4,5,5,55,63,64,6,0,11649404,7.652869,10.823141,1842,2854
R16,0,C5,4,32,w5g-R16-s0-C5-b4-m32,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,32,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,1532548,123108,1409440,654448,1969728,0.332253,416,872,0.477064,1474816,23597056,0,0,279804,6318,0,22140369,12952,112621,22552064,22439443,118039467,95600024,0.809899,1968704,590064,1314496,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,64.103714,4,5,5,24,25,32,43,0,12551526,8.189973,11.262438,1842,2854
R16,0,C5,4,64,w5g-R16-s0-C5-b4-m64,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,64,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,1495779,123108,1372671,599067,1969728,0.304137,416,784,0.530612,1474816,23597056,0,0,257733,0,0,21590333,19098,96596,21963760,21867164,115214878,93347714,0.810205,1968704,534683,1369877,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,66.802856,4,5,5,55,62,64,7,0,11860408,7.929252,10.943580,1842,2854
R16,0,C5,8,32,w5g-R16-s0-C5-b8-m32,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,32,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,1512316,123108,1389208,605023,1969728,0.307161,416,958,0.434238,1474816,23597056,0,0,263951,14074,0,21855472,8744,86111,22228352,22142241,116572751,94430510,0.810056,1968704,540639,1363921,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,133.025149,4,5,5,24,25,32,48,0,12557645,8.303585,11.036583,1842,2854
R16,0,C5,8,64,w5g-R16-s0-C5-b8-m64,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,64,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,1495711,123108,1372603,573152,1969728,0.290980,416,810,0.513580,1474816,23597056,0,0,251854,2561,0,21609364,20257,78636,21962672,21884036,115302506,93418470,0.810203,1968704,508768,1395792,0,64144,0,0,0,0,0.966915,0.999480,0,0,0.000000,136.131787,4,5,5,55,62,64,16,0,11896431,7.953696,10.664623,1842,2854
R16,0,C6,1,32,w5g-R16-s0-C6-b1-m32,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,32,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,828734,123108,705626,1270049,1969728,0.644784,64,976,0.065574,768560,49187840,0,0,662972,0,0,10490285,36024,101759,11291040,11189281,30589462,19400181,0.634211,1968704,93521,698703,0,16196,1160284,0,0,0,0.402200,0.999480,0,0,0.110460,8.525185,2,3,5,23,24,24,0,0,8263184,9.970852,6.846121,1842,2854
R16,0,C6,1,64,w5g-R16-s0-C6-b1-m64,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,0,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,64,12,1,next_burst,4,0,1,8,0,24,1,1,1,1,non_inclusive,lru,828734,123108,705626,1270049,1969728,0.644784,64,976,0.065574,768560,49187840,0,0,662972,0,0,10490285,36024,101759,11291040,11189281,30589462,19400181,0.634211,1968704,93521,698703,0,16196,1160284,0,0,0,0.402200,0.999480,0,0,0.110460,8.525185,2,3,5,23,24,24,0,0,8263184,9.970852,7.053618,1842,2854
